timeline_title,timeline_slug,timeline_description,category,event_order,date,date_precision,title,description,importance,location,image_url,source_publisher,source_url,source_credibility,tags
Timeline of Ancient Greece,ancient-greece,"Major political, cultural, and military milestones in the history of ancient Greek civilization from the Bronze Age to the rise of Macedon.",history,1,c. 2700 BCE,approximate,Minoan civilization emerges on Crete,"Complex palace-centered society develops on Crete, marking one of the earliest advanced civilizations in the Aegean world.",4,Crete,,Encyclopaedia Britannica,https://www.britannica.com/place/ancient-Greece,0.95,greece;ancient-world;society
Timeline of Ancient Greece,ancient-greece,"Major political, cultural, and military milestones in the history of ancient Greek civilization from the Bronze Age to the rise of Macedon.",history,2,c. 1600 BCE,approximate,Mycenaean civilization rises,Mycenaean Greek kingdoms become the dominant power on mainland Greece and shape the later heroic traditions of Greek culture.,4,Mainland Greece,,Encyclopaedia Britannica,https://www.britannica.com/place/ancient-Greece,0.95,greece;ancient-world;state
Timeline of Ancient Greece,ancient-greece,"Major political, cultural, and military milestones in the history of ancient Greek civilization from the Bronze Age to the rise of Macedon.",history,3,c. 1450 BCE,approximate,Mycenaeans take control of Crete,Mycenaean influence spreads into Crete after the decline of Minoan palace power.,3,Crete,,Encyclopaedia Britannica,https://www.britannica.com/place/ancient-Greece,0.95,greece;ancient-world;empire
Timeline of Ancient Greece,ancient-greece,"Major political, cultural, and military milestones in the history of ancient Greek civilization from the Bronze Age to the rise of Macedon.",history,4,c. 1200 BCE,approximate,Mycenaean palace systems collapse,The breakdown of palace society ushers in a period of disruption often called the Greek Dark Age.,5,Greek world,,Encyclopaedia Britannica,https://www.britannica.com/place/ancient-Greece,0.95,greece;ancient-world;collapse
Timeline of Ancient Greece,ancient-greece,"Major political, cultural, and military milestones in the history of ancient Greek civilization from the Bronze Age to the rise of Macedon.",history,5,8th century BCE,approximate,Greek city-states consolidate,"Independent poleis such as Athens, Sparta, and Corinth emerge as the central political form of Greek life.",5,Greek world,,Encyclopaedia Britannica,https://www.britannica.com/place/ancient-Greece,0.95,greece;politics;state
Timeline of Ancient Greece,ancient-greece,"Major political, cultural, and military milestones in the history of ancient Greek civilization from the Bronze Age to the rise of Macedon.",history,6,776 BCE,year,Traditional date of the first Olympic Games,"Greek tradition places the first Olympic festival at Olympia in 776 BCE, providing a famous chronological marker for Greek history.",3,Olympia,,Encyclopaedia Britannica,https://www.britannica.com/place/ancient-Greece,0.95,greece;sport;religion
Timeline of Ancient Greece,ancient-greece,"Major political, cultural, and military milestones in the history of ancient Greek civilization from the Bronze Age to the rise of Macedon.",history,7,c. 750 BCE,approximate,Greek colonization expands across the Mediterranean,"Greek settlers establish colonies from the Black Sea to southern Italy, extending trade and culture far beyond the Aegean.",4,Mediterranean Basin,,Encyclopaedia Britannica,https://www.britannica.com/place/ancient-Greece,0.95,greece;colonization;trade
Timeline of Ancient Greece,ancient-greece,"Major political, cultural, and military milestones in the history of ancient Greek civilization from the Bronze Age to the rise of Macedon.",history,8,c. 650 BCE,approximate,Hoplite warfare becomes widespread,Citizen infantry organized in phalanx formations reshapes military and political life in many city-states.,3,Greek world,,Encyclopaedia Britannica,https://www.britannica.com/place/ancient-Greece,0.95,greece;war;politics
Timeline of Ancient Greece,ancient-greece,"Major political, cultural, and military milestones in the history of ancient Greek civilization from the Bronze Age to the rise of Macedon.",history,9,594 BCE,year,Solon introduces reforms at Athens,"Solon's legislation restructures debt, citizenship, and political participation, laying foundations for later Athenian democracy.",5,Athens,,Encyclopaedia Britannica,https://www.britannica.com/place/ancient-Greece,0.95,greece;athens;politics
Timeline of Ancient Greece,ancient-greece,"Major political, cultural, and military milestones in the history of ancient Greek civilization from the Bronze Age to the rise of Macedon.",history,10,546 BCE,year,Persia conquers Lydia and the Greek cities of Ionia,Achaemenid control over the Ionian Greeks brings the eastern Greek world into the Persian Empire.,4,Ionia,,Encyclopaedia Britannica,https://www.britannica.com/place/ancient-Greece,0.95,greece;persia;empire
Timeline of Ancient Greece,ancient-greece,"Major political, cultural, and military milestones in the history of ancient Greek civilization from the Bronze Age to the rise of Macedon.",history,11,508 BCE,year,Cleisthenes reforms the Athenian constitution,Cleisthenes reorganizes the citizen body and institutions of Athens in a decisive step toward democracy.,5,Athens,,Encyclopaedia Britannica,https://www.britannica.com/place/ancient-Greece,0.95,greece;athens;democracy
Timeline of Ancient Greece,ancient-greece,"Major political, cultural, and military milestones in the history of ancient Greek civilization from the Bronze Age to the rise of Macedon.",history,12,499 BCE,year,Ionian Revolt begins,"Greek cities in Asia Minor rebel against Persian rule, helping trigger the larger Greco-Persian conflicts.",4,Ionia,,Encyclopaedia Britannica,https://www.britannica.com/place/ancient-Greece,0.95,greece;persia;war
Timeline of Ancient Greece,ancient-greece,"Major political, cultural, and military milestones in the history of ancient Greek civilization from the Bronze Age to the rise of Macedon.",history,13,490 BCE,year,Athenians defeat Persia at Marathon,The Athenian victory at Marathon becomes one of the defining moments of the Persian Wars.,5,Marathon,,Encyclopaedia Britannica,https://www.britannica.com/place/ancient-Greece,0.95,greece;persia;war
Timeline of Ancient Greece,ancient-greece,"Major political, cultural, and military milestones in the history of ancient Greek civilization from the Bronze Age to the rise of Macedon.",history,14,480 BCE,year,Persian invasion reaches its height,"The battles of Thermopylae, Salamis, and related campaigns mark the climactic stage of Xerxes I's invasion of Greece.",5,Greece,,Encyclopaedia Britannica,https://www.britannica.com/place/ancient-Greece,0.95,greece;persia;war
Timeline of Ancient Greece,ancient-greece,"Major political, cultural, and military milestones in the history of ancient Greek civilization from the Bronze Age to the rise of Macedon.",history,15,479 BCE,year,Greek victory at Plataea ends the Persian threat,The defeat of Persian forces at Plataea confirms the failure of Persia's campaign in mainland Greece.,5,Plataea,,Encyclopaedia Britannica,https://www.britannica.com/place/ancient-Greece,0.95,greece;persia;war
Timeline of Ancient Greece,ancient-greece,"Major political, cultural, and military milestones in the history of ancient Greek civilization from the Bronze Age to the rise of Macedon.",history,16,478 BCE,year,Delian League is founded,Athens leads an alliance of Greek states that gradually develops into an Athenian maritime empire.,4,Delos,,Encyclopaedia Britannica,https://www.britannica.com/place/ancient-Greece,0.95,greece;athens;empire
Timeline of Ancient Greece,ancient-greece,"Major political, cultural, and military milestones in the history of ancient Greek civilization from the Bronze Age to the rise of Macedon.",history,17,431 BCE,year,Peloponnesian War begins,"War breaks out between Athens and Sparta, drawing much of the Greek world into a prolonged struggle.",5,Greek world,,Encyclopaedia Britannica,https://www.britannica.com/place/ancient-Greece,0.95,greece;war;sparta
Timeline of Ancient Greece,ancient-greece,"Major political, cultural, and military milestones in the history of ancient Greek civilization from the Bronze Age to the rise of Macedon.",history,18,404 BCE,year,Athens surrenders to Sparta,The Peloponnesian War ends with Spartan victory and the collapse of the Athenian empire.,5,Athens,,Encyclopaedia Britannica,https://www.britannica.com/place/ancient-Greece,0.95,greece;war;athens
Timeline of Ancient Greece,ancient-greece,"Major political, cultural, and military milestones in the history of ancient Greek civilization from the Bronze Age to the rise of Macedon.",history,19,338 BCE,year,Philip II wins the Battle of Chaeronea,"Macedon defeats the combined forces of Athens and Thebes, ending the political independence of the major Greek city-states.",5,Chaeronea,,Encyclopaedia Britannica,https://www.britannica.com/place/ancient-Greece,0.95,greece;macedon;war
Timeline of Ancient Greece,ancient-greece,"Major political, cultural, and military milestones in the history of ancient Greek civilization from the Bronze Age to the rise of Macedon.",history,20,323 BCE,year,Death of Alexander the Great,Alexander's death marks the conventional end of the Classical Greek age and the beginning of the Hellenistic era.,5,Babylon,,Encyclopaedia Britannica,https://www.britannica.com/place/ancient-Greece,0.95,greece;macedon;empire
Timeline of Christianity,christianity,Major events in the development of Christianity from its origins in Roman Judea to the modern global church.,religion,1,c. 4 BCE,approximate,Birth of Jesus of Nazareth,"Jesus of Nazareth is born in Roman Judea, beginning the life at the center of Christianity.",5,Judea,,Encyclopaedia Britannica,https://www.britannica.com/topic/history-of-early-Christianity,0.95,christianity;religion;rome
Timeline of Christianity,christianity,Major events in the development of Christianity from its origins in Roman Judea to the modern global church.,religion,2,c. 30,approximate,Crucifixion of Jesus,"Jesus is executed by crucifixion under Roman authority, a foundational event in Christian belief.",5,Jerusalem,,Encyclopaedia Britannica,https://www.britannica.com/topic/history-of-early-Christianity,0.95,christianity;religion;rome
Timeline of Christianity,christianity,Major events in the development of Christianity from its origins in Roman Judea to the modern global church.,religion,3,c. 30,approximate,Earliest Christian community forms in Jerusalem,Jesus's followers organize in Jerusalem and begin proclaiming his resurrection.,5,Jerusalem,,Encyclopaedia Britannica,https://www.britannica.com/topic/history-of-early-Christianity,0.95,christianity;religion;church
Timeline of Christianity,christianity,Major events in the development of Christianity from its origins in Roman Judea to the modern global church.,religion,4,c. 35,approximate,Conversion of Paul,Paul's conversion leads to missionary activity that helps spread Christianity across the Roman world.,5,Near Damascus,,Encyclopaedia Britannica,https://www.britannica.com/topic/history-of-early-Christianity,0.95,christianity;religion;church
Timeline of Christianity,christianity,Major events in the development of Christianity from its origins in Roman Judea to the modern global church.,religion,5,49,year,Council of Jerusalem addresses Gentile converts,"Early Christian leaders decide that non-Jewish converts need not fully adopt Jewish law, aiding expansion beyond Judaism.",4,Jerusalem,,Encyclopaedia Britannica,https://www.britannica.com/topic/history-of-early-Christianity,0.95,christianity;church;religion
Timeline of Christianity,christianity,Major events in the development of Christianity from its origins in Roman Judea to the modern global church.,religion,6,64,year,Neronian persecution follows the Great Fire of Rome,Christians in Rome are persecuted under Nero after the city's devastating fire.,4,Rome,,Encyclopaedia Britannica,https://www.britannica.com/topic/history-of-early-Christianity,0.95,christianity;rome;persecution
Timeline of Christianity,christianity,Major events in the development of Christianity from its origins in Roman Judea to the modern global church.,religion,7,70,year,Destruction of the Second Temple,The Roman destruction of Jerusalem's Temple accelerates the separation of Christianity from Judaism.,4,Jerusalem,,Encyclopaedia Britannica,https://www.britannica.com/topic/history-of-early-Christianity,0.95,christianity;judaism;rome
Timeline of Christianity,christianity,Major events in the development of Christianity from its origins in Roman Judea to the modern global church.,religion,8,313,year,Edict of Milan legalizes Christianity,"Constantine and Licinius proclaim religious toleration, ending major imperial persecution of Christians.",5,Roman Empire,,Encyclopaedia Britannica,https://www.britannica.com/topic/Christianity/The-history-of-Christianity,0.95,christianity;rome;state
Timeline of Christianity,christianity,Major events in the development of Christianity from its origins in Roman Judea to the modern global church.,religion,9,325,year,First Council of Nicaea meets,Bishops gather at Nicaea and issue a creed that becomes central to orthodox Christian doctrine.,5,Nicaea,,Encyclopaedia Britannica,https://www.britannica.com/topic/Christianity/The-history-of-Christianity,0.95,christianity;church;doctrine
Timeline of Christianity,christianity,Major events in the development of Christianity from its origins in Roman Judea to the modern global church.,religion,10,380,year,Christianity becomes the Roman Empire's official religion,The Edict of Thessalonica establishes Nicene Christianity as the imperial state religion.,5,Roman Empire,,Encyclopaedia Britannica,https://www.britannica.com/topic/Christianity/The-history-of-Christianity,0.95,christianity;rome;state
Timeline of Christianity,christianity,Major events in the development of Christianity from its origins in Roman Judea to the modern global church.,religion,11,410,year,Augustine begins writing The City of God,Augustine's major theological work helps shape Western Christian thought in late antiquity and the Middle Ages.,4,Hippo Regius,,Encyclopaedia Britannica,https://www.britannica.com/topic/Christianity/The-history-of-Christianity,0.95,christianity;theology;literature
Timeline of Christianity,christianity,Major events in the development of Christianity from its origins in Roman Judea to the modern global church.,religion,12,451,year,Council of Chalcedon defines Christological doctrine,"The council issues a major doctrinal statement on the nature of Christ, influencing later divisions within Christianity.",4,Chalcedon,,Encyclopaedia Britannica,https://www.britannica.com/topic/Christianity/The-history-of-Christianity,0.95,christianity;church;doctrine
Timeline of Christianity,christianity,Major events in the development of Christianity from its origins in Roman Judea to the modern global church.,religion,13,590,year,Gregory I becomes pope,Gregory the Great strengthens papal authority and shapes the medieval Latin Church.,4,Rome,,Encyclopaedia Britannica,https://www.britannica.com/topic/Christianity/The-history-of-Christianity,0.95,christianity;papacy;church
Timeline of Christianity,christianity,Major events in the development of Christianity from its origins in Roman Judea to the modern global church.,religion,14,800,year,Charlemagne is crowned emperor,The coronation of Charlemagne in Rome reinforces ties between the papacy and western Christian monarchy.,4,Rome,,Encyclopaedia Britannica,https://www.britannica.com/topic/Christianity/The-history-of-Christianity,0.95,christianity;papacy;empire
Timeline of Christianity,christianity,Major events in the development of Christianity from its origins in Roman Judea to the modern global church.,religion,15,1054,year,Great Schism divides eastern and western churches,The long-developing break between the Roman Catholic and Eastern Orthodox churches becomes formalized.,5,Rome and Constantinople,,Encyclopaedia Britannica,https://www.britannica.com/topic/Christianity/The-history-of-Christianity,0.95,christianity;church;schism
Timeline of Christianity,christianity,Major events in the development of Christianity from its origins in Roman Judea to the modern global church.,religion,16,1095,year,First Crusade is proclaimed,"Pope Urban II calls for a military expedition to the Holy Land, linking Latin Christianity to crusading warfare.",4,Clermont,,Encyclopaedia Britannica,https://www.britannica.com/topic/Christianity/The-history-of-Christianity,0.95,christianity;war;papacy
Timeline of Christianity,christianity,Major events in the development of Christianity from its origins in Roman Judea to the modern global church.,religion,17,1517,year,Martin Luther launches the Reformation,Luther's challenge to church practice sparks the Protestant Reformation and enduring divisions within Christianity.,5,Wittenberg,,Encyclopaedia Britannica,https://www.britannica.com/topic/Christianity/The-history-of-Christianity,0.95,christianity;reformation;church
