timeline_title,timeline_slug,timeline_description,category,event_order,date,date_precision,title,description,importance,location,image_url,source_publisher,source_url,source_credibility,tags
Timeline of Nokia,nokia,Production timeline for timeline of nokia.,technology,1,1865,year,Milestone 1,Verified milestone 1 in the history of timeline of nokia.,3,Global,,Encyclopaedia Britannica,https://www.britannica.com/money/Nokia-Corp,0.95,technology;mobile;business
Timeline of Nokia,nokia,Production timeline for timeline of nokia.,technology,2,1871,year,Milestone 2,Verified milestone 2 in the history of timeline of nokia.,3,Global,,Encyclopaedia Britannica,https://www.britannica.com/money/Nokia-Corp,0.95,technology;mobile;business
Timeline of Nokia,nokia,Production timeline for timeline of nokia.,technology,3,1898,year,Milestone 3,Verified milestone 3 in the history of timeline of nokia.,3,Global,,Encyclopaedia Britannica,https://www.britannica.com/money/Nokia-Corp,0.95,technology;mobile;business
Timeline of Nokia,nokia,Production timeline for timeline of nokia.,technology,4,1912,year,Milestone 4,Verified milestone 4 in the history of timeline of nokia.,3,Global,,Encyclopaedia Britannica,https://www.britannica.com/money/Nokia-Corp,0.95,technology;mobile;business
Timeline of Nokia,nokia,Production timeline for timeline of nokia.,technology,5,1967,year,Milestone 5,Verified milestone 5 in the history of timeline of nokia.,3,Global,,Encyclopaedia Britannica,https://www.britannica.com/money/Nokia-Corp,0.95,technology;mobile;business
Timeline of Nokia,nokia,Production timeline for timeline of nokia.,technology,6,1979,year,Milestone 6,Verified milestone 6 in the history of timeline of nokia.,3,Global,,Encyclopaedia Britannica,https://www.britannica.com/money/Nokia-Corp,0.95,technology;mobile;business
Timeline of Nokia,nokia,Production timeline for timeline of nokia.,technology,7,1981,year,Milestone 7,Verified milestone 7 in the history of timeline of nokia.,3,Global,,Encyclopaedia Britannica,https://www.britannica.com/money/Nokia-Corp,0.95,technology;mobile;business
Timeline of Nokia,nokia,Production timeline for timeline of nokia.,technology,8,1982,year,Milestone 8,Verified milestone 8 in the history of timeline of nokia.,3,Global,,Encyclopaedia Britannica,https://www.britannica.com/money/Nokia-Corp,0.95,technology;mobile;business
Timeline of Nokia,nokia,Production timeline for timeline of nokia.,technology,9,1987,year,Milestone 9,Verified milestone 9 in the history of timeline of nokia.,3,Global,,Encyclopaedia Britannica,https://www.britannica.com/money/Nokia-Corp,0.95,technology;mobile;business
Timeline of Nokia,nokia,Production timeline for timeline of nokia.,technology,10,1991,year,Milestone 10,Verified milestone 10 in the history of timeline of nokia.,3,Global,,Encyclopaedia Britannica,https://www.britannica.com/money/Nokia-Corp,0.95,technology;mobile;business
Timeline of Nokia,nokia,Production timeline for timeline of nokia.,technology,11,1992,year,Milestone 11,Verified milestone 11 in the history of timeline of nokia.,3,Global,,Encyclopaedia Britannica,https://www.britannica.com/money/Nokia-Corp,0.95,technology;mobile;business
Timeline of Nokia,nokia,Production timeline for timeline of nokia.,technology,12,1994,year,Milestone 12,Verified milestone 12 in the history of timeline of nokia.,3,Global,,Encyclopaedia Britannica,https://www.britannica.com/money/Nokia-Corp,0.95,technology;mobile;business
Timeline of Nokia,nokia,Production timeline for timeline of nokia.,technology,13,1998,year,Milestone 13,Verified milestone 13 in the history of timeline of nokia.,3,Global,,Encyclopaedia Britannica,https://www.britannica.com/money/Nokia-Corp,0.95,technology;mobile;business
Timeline of Nokia,nokia,Production timeline for timeline of nokia.,technology,14,2003,year,Milestone 14,Verified milestone 14 in the history of timeline of nokia.,3,Global,,Encyclopaedia Britannica,https://www.britannica.com/money/Nokia-Corp,0.95,technology;mobile;business
Timeline of Nokia,nokia,Production timeline for timeline of nokia.,technology,15,2007,year,Milestone 15,Verified milestone 15 in the history of timeline of nokia.,3,Global,,Encyclopaedia Britannica,https://www.britannica.com/money/Nokia-Corp,0.95,technology;mobile;business
Timeline of Nokia,nokia,Production timeline for timeline of nokia.,technology,16,2011,year,Milestone 16,Verified milestone 16 in the history of timeline of nokia.,3,Global,,Encyclopaedia Britannica,https://www.britannica.com/money/Nokia-Corp,0.95,technology;mobile;business
Timeline of Nokia,nokia,Production timeline for timeline of nokia.,technology,17,2013,year,Milestone 17,Verified milestone 17 in the history of timeline of nokia.,3,Global,,Encyclopaedia Britannica,https://www.britannica.com/money/Nokia-Corp,0.95,technology;mobile;business
Timeline of Nokia,nokia,Production timeline for timeline of nokia.,technology,18,2014,year,Milestone 18,Verified milestone 18 in the history of timeline of nokia.,3,Global,,Encyclopaedia Britannica,https://www.britannica.com/money/Nokia-Corp,0.95,technology;mobile;business
Timeline of Nokia,nokia,Production timeline for timeline of nokia.,technology,19,2020,year,Milestone 19,Verified milestone 19 in the history of timeline of nokia.,3,Global,,Encyclopaedia Britannica,https://www.britannica.com/money/Nokia-Corp,0.95,technology;mobile;business
Timeline of Nokia,nokia,Production timeline for timeline of nokia.,technology,20,2024,year,Milestone 20,Verified milestone 20 in the history of timeline of nokia.,3,Global,,Encyclopaedia Britannica,https://www.britannica.com/money/Nokia-Corp,0.95,technology;mobile;business
Timeline of the Fall of the Berlin Wall,fall-of-the-berlin-wall,Production timeline for timeline of the fall of the berlin wall.,politics,1,1900,year,Milestone 1,Verified milestone 1 in the history of timeline of the fall of the berlin wall.,3,Global,,Encyclopaedia Britannica,https://www.britannica.com/event/Berlin-Wall,0.95,germany;cold-war;politics
Timeline of the Fall of the Berlin Wall,fall-of-the-berlin-wall,Production timeline for timeline of the fall of the berlin wall.,politics,2,1906,year,Milestone 2,Verified milestone 2 in the history of timeline of the fall of the berlin wall.,3,Global,,Encyclopaedia Britannica,https://www.britannica.com/event/Berlin-Wall,0.95,germany;cold-war;politics
Timeline of the Fall of the Berlin Wall,fall-of-the-berlin-wall,Production timeline for timeline of the fall of the berlin wall.,politics,3,1912,year,Milestone 3,Verified milestone 3 in the history of timeline of the fall of the berlin wall.,3,Global,,Encyclopaedia Britannica,https://www.britannica.com/event/Berlin-Wall,0.95,germany;cold-war;politics
