timeline_title,timeline_slug,timeline_description,category,event_order,date,date_precision,title,description,importance,location,image_url,source_publisher,source_url,source_credibility,tags
Timeline of the Space Race,timeline-of-the-space-race,Major milestones in the Cold War competition between the Soviet Union and the United States in space exploration.,science,1,1957-10-04,day,Sputnik 1 is launched,"The Soviet Union launches Sputnik 1, the first artificial satellite, opening the Space Race.",5,"Baikonur Cosmodrome, Kazakh SSR, Soviet Union",,Encyclopaedia Britannica,https://www.britannica.com/story/timeline-of-the-space-race,0.97,space;cold-war;soviet-union
Timeline of the Space Race,timeline-of-the-space-race,Major milestones in the Cold War competition between the Soviet Union and the United States in space exploration.,science,2,1957-11-03,day,Sputnik 2 carries Laika into orbit,"The Soviet Union sends Laika into orbit aboard Sputnik 2, demonstrating a second rapid space triumph.",4,"Baikonur Cosmodrome, Kazakh SSR, Soviet Union",,Encyclopaedia Britannica,https://www.britannica.com/story/timeline-of-the-space-race,0.97,space;animals;soviet-union
Timeline of the Space Race,timeline-of-the-space-race,Major milestones in the Cold War competition between the Soviet Union and the United States in space exploration.,science,3,1958-01-31,day,Explorer 1 reaches orbit,"The United States launches Explorer 1, its first successful satellite, and enters the contest in earnest.",5,"Cape Canaveral, Florida, United States",,Encyclopaedia Britannica,https://www.britannica.com/story/timeline-of-the-space-race,0.97,space;united-states;satellites
Timeline of the Space Race,timeline-of-the-space-race,Major milestones in the Cold War competition between the Soviet Union and the United States in space exploration.,science,4,1958-07-29,day,NASA is established,"President Dwight D. Eisenhower signs the National Aeronautics and Space Act, creating NASA.",5,"Washington, D.C., United States",,Encyclopaedia Britannica,https://www.britannica.com/story/timeline-of-the-space-race,0.97,space;united-states;institutions
Timeline of the Space Race,timeline-of-the-space-race,Major milestones in the Cold War competition between the Soviet Union and the United States in space exploration.,science,5,1959-09-14,day,Luna 2 reaches the Moon,The Soviet Luna 2 mission becomes the first human-made object to impact the Moon.,5,Moon,,Encyclopaedia Britannica,https://www.britannica.com/story/timeline-of-the-space-race,0.97,space;moon;soviet-union
Timeline of the Space Race,timeline-of-the-space-race,Major milestones in the Cold War competition between the Soviet Union and the United States in space exploration.,science,6,1961-04-12,day,Yuri Gagarin orbits Earth,Vostok 1 makes Yuri Gagarin the first human in space and the first person to orbit Earth.,5,"Baikonur Cosmodrome, Kazakh SSR, Soviet Union",,Encyclopaedia Britannica,https://www.britannica.com/story/timeline-of-the-space-race,0.97,space;human-spaceflight;soviet-union
Timeline of the Space Race,timeline-of-the-space-race,Major milestones in the Cold War competition between the Soviet Union and the United States in space exploration.,science,7,1961-05-05,day,Alan Shepard flies in Mercury-Redstone 3,Alan Shepard becomes the first American in space on a suborbital flight.,4,"Cape Canaveral, Florida, United States",,Encyclopaedia Britannica,https://www.britannica.com/story/timeline-of-the-space-race,0.97,space;human-spaceflight;united-states
Timeline of the Space Race,timeline-of-the-space-race,Major milestones in the Cold War competition between the Soviet Union and the United States in space exploration.,science,8,1961-05-25,day,Kennedy commits the United States to the Moon,President John F. Kennedy asks Congress to support landing a man on the Moon before the decade ends.,5,"Washington, D.C., United States",,Encyclopaedia Britannica,https://www.britannica.com/story/timeline-of-the-space-race,0.97,space;moon;united-states
Timeline of the Space Race,timeline-of-the-space-race,Major milestones in the Cold War competition between the Soviet Union and the United States in space exploration.,science,9,1962-02-20,day,John Glenn becomes first American to orbit Earth,"Friendship 7 carries John Glenn into orbit, a key American achievement in crewed flight.",5,"Cape Canaveral, Florida, United States",,Encyclopaedia Britannica,https://www.britannica.com/story/timeline-of-the-space-race,0.97,space;human-spaceflight;united-states
Timeline of the Space Race,timeline-of-the-space-race,Major milestones in the Cold War competition between the Soviet Union and the United States in space exploration.,science,10,1963-06-16,day,Valentina Tereshkova becomes first woman in space,"Vostok 6 carries Valentina Tereshkova into orbit, marking another Soviet first.",4,"Baikonur Cosmodrome, Kazakh SSR, Soviet Union",,Encyclopaedia Britannica,https://www.britannica.com/story/timeline-of-the-space-race,0.97,space;women;soviet-union
Timeline of the Space Race,timeline-of-the-space-race,Major milestones in the Cold War competition between the Soviet Union and the United States in space exploration.,science,11,1964-10-12,day,Voskhod 1 carries first multi-person crew,"The Soviet Voskhod 1 mission carries three cosmonauts, the first spaceflight with more than one crew member.",3,"Baikonur Cosmodrome, Kazakh SSR, Soviet Union",,Encyclopaedia Britannica,https://www.britannica.com/story/timeline-of-the-space-race,0.97,space;human-spaceflight;soviet-union
Timeline of the Space Race,timeline-of-the-space-race,Major milestones in the Cold War competition between the Soviet Union and the United States in space exploration.,science,12,1965-03-18,day,Alexei Leonov completes first spacewalk,Voskhod 2 makes Leonov the first person to conduct an extravehicular activity.,5,Earth orbit,,Encyclopaedia Britannica,https://www.britannica.com/story/timeline-of-the-space-race,0.97,space;human-spaceflight;soviet-union
Timeline of the Space Race,timeline-of-the-space-race,Major milestones in the Cold War competition between the Soviet Union and the United States in space exploration.,science,13,1965-12-15,day,Gemini 6A and Gemini 7 perform rendezvous,"The United States demonstrates controlled orbital rendezvous, an essential step toward lunar missions.",4,Earth orbit,,Encyclopaedia Britannica,https://www.britannica.com/story/timeline-of-the-space-race,0.97,space;united-states;technology
Timeline of the Space Race,timeline-of-the-space-race,Major milestones in the Cold War competition between the Soviet Union and the United States in space exploration.,science,14,1966-02-03,day,Luna 9 makes first soft landing on the Moon,The Soviet Luna 9 mission achieves the first successful soft landing on the lunar surface.,5,Moon,,Encyclopaedia Britannica,https://www.britannica.com/story/timeline-of-the-space-race,0.97,space;moon;soviet-union
