timeline_title,timeline_slug,timeline_description,category,event_order,date,date_precision,title,description,importance,location,image_url,source_publisher,source_url,source_credibility,tags
Timeline of Artificial Light,artificial-light,"A timeline of major milestones in the technologies humans used to create artificial light, from early oil lamps to modern LED illumination.",technology,1,c. 3000 BCE,approximate,Oil lamps spread in Mesopotamia,Early wick lamps burning animal fat or plant oils became a durable technology for extending activity after sunset in Mesopotamia.,4,Mesopotamia,,Encyclopaedia Britannica,https://www.britannica.com/technology/lamp,0.93,technology;energy
Timeline of Artificial Light,artificial-light,"A timeline of major milestones in the technologies humans used to create artificial light, from early oil lamps to modern LED illumination.",technology,2,c. 3000 BCE,approximate,Candles appear in ancient Egypt,Early candles made from rushes soaked in fat gave ancient Egyptians a portable source of light.,3,Ancient Egypt,,Encyclopaedia Britannica,https://www.britannica.com/technology/candle,0.93,technology;egypt
Timeline of Artificial Light,artificial-light,"A timeline of major milestones in the technologies humans used to create artificial light, from early oil lamps to modern LED illumination.",technology,3,7th century BCE,approximate,Greek and Roman lamp forms mature,Terracotta and metal oil lamps with enclosed reservoirs and better wicks became common around the Mediterranean world.,3,Mediterranean,,Encyclopaedia Britannica,https://www.britannica.com/technology/lamp,0.93,technology;rome
Timeline of Artificial Light,artificial-light,"A timeline of major milestones in the technologies humans used to create artificial light, from early oil lamps to modern LED illumination.",technology,4,206 BCE,year,Han-era lanterns become established in China,"Paper and silk lantern traditions developed in imperial China, making carried light more practical and culturally significant.",3,China,,Encyclopaedia Britannica,https://www.britannica.com/art/lantern,0.88,china;culture
Timeline of Artificial Light,artificial-light,"A timeline of major milestones in the technologies humans used to create artificial light, from early oil lamps to modern LED illumination.",technology,5,1st century CE,approximate,Beeswax candles gain prestige in Rome,"Beeswax candles, cleaner and less smoky than tallow, became valued in religious and elite settings in the Roman world.",2,Roman Empire,,Encyclopaedia Britannica,https://www.britannica.com/technology/candle,0.93,rome;religion
Timeline of Artificial Light,artificial-light,"A timeline of major milestones in the technologies humans used to create artificial light, from early oil lamps to modern LED illumination.",technology,6,9th century,approximate,Improved glass lamps spread in the Islamic world,Glass lampmaking and refined oil-burning techniques helped cities and mosques sustain brighter interior illumination.,3,Middle East,,Encyclopaedia Britannica,https://www.britannica.com/technology/lamp,0.93,islam;technology
Timeline of Artificial Light,artificial-light,"A timeline of major milestones in the technologies humans used to create artificial light, from early oil lamps to modern LED illumination.",technology,7,13th century,approximate,Rushlights become common in medieval Europe,Cheap rushlights provided basic household illumination for ordinary people across much of Europe.,2,Europe,,Encyclopaedia Britannica,https://www.britannica.com/technology/candle,0.93,europe;daily-life
Timeline of Artificial Light,artificial-light,"A timeline of major milestones in the technologies humans used to create artificial light, from early oil lamps to modern LED illumination.",technology,8,1780,year,Argand lamp is introduced,Aimé Argand's circular wick lamp produced a brighter and steadier flame than earlier oil lamps.,5,Switzerland,,Encyclopaedia Britannica,https://www.britannica.com/technology/lamp,0.93,invention;energy
Timeline of Artificial Light,artificial-light,"A timeline of major milestones in the technologies humans used to create artificial light, from early oil lamps to modern LED illumination.",technology,9,1792,year,Murdoch demonstrates coal-gas lighting,"William Murdoch successfully used coal gas for illumination, marking a major step toward urban gas lighting.",5,"Redruth, England",,Encyclopaedia Britannica,https://www.britannica.com/technology/lighting,0.92,energy;urban-life
Timeline of Artificial Light,artificial-light,"A timeline of major milestones in the technologies humans used to create artificial light, from early oil lamps to modern LED illumination.",technology,10,1807,year,London's Pall Mall is lit by gas,Public gas lighting on Pall Mall showed that city streets could be illuminated systematically after dark.,4,"London, England",,Encyclopaedia Britannica,https://www.britannica.com/technology/lighting,0.92,london;urban-life
Timeline of Artificial Light,artificial-light,"A timeline of major milestones in the technologies humans used to create artificial light, from early oil lamps to modern LED illumination.",technology,11,1809,year,Davy demonstrates the arc lamp,Humphry Davy showed that an electric arc between carbon electrodes could produce intense light.,5,"London, England",,U.S. Department of Energy,https://www.energy.gov/history-lightbulb,0.96,electricity;invention
Timeline of Artificial Light,artificial-light,"A timeline of major milestones in the technologies humans used to create artificial light, from early oil lamps to modern LED illumination.",technology,12,1825,year,Limelight enters stage lighting,Oxyhydrogen-heated lime produced a brilliant spotlight that transformed theatres and public performance.,3,Britain,,Encyclopaedia Britannica,https://www.britannica.com/technology/limelight,0.9,culture;theater
Timeline of Artificial Light,artificial-light,"A timeline of major milestones in the technologies humans used to create artificial light, from early oil lamps to modern LED illumination.",technology,13,1859,year,Kerosene lamps expand domestic lighting,The commercial rise of petroleum made kerosene lamps a cheaper and more widespread household light source.,4,United States,,Encyclopaedia Britannica,https://www.britannica.com/technology/lamp,0.93,energy;daily-life
Timeline of Artificial Light,artificial-light,"A timeline of major milestones in the technologies humans used to create artificial light, from early oil lamps to modern LED illumination.",technology,14,1878,year,Joseph Swan shows an early practical bulb,Swan publicly demonstrated an incandescent lamp using a carbon filament in a partial vacuum.,5,"Newcastle upon Tyne, England",,Encyclopaedia Britannica,https://www.britannica.com/biography/Joseph-Wilson-Swan,0.93,electricity;invention
Timeline of Artificial Light,artificial-light,"A timeline of major milestones in the technologies humans used to create artificial light, from early oil lamps to modern LED illumination.",technology,15,1879,year,Edison improves the incandescent lamp,Thomas Edison and his team produced a more durable practical incandescent lamp and a system for electric lighting.,5,"Menlo Park, New Jersey",,U.S. Department of Energy,https://www.energy.gov/articles/history-light-bulb,0.96,electricity;industry
Timeline of Artificial Light,artificial-light,"A timeline of major milestones in the technologies humans used to create artificial light, from early oil lamps to modern LED illumination.",technology,16,1906,year,Tungsten filament lamps commercialize,Tungsten filaments greatly improved efficiency and lifespan compared with carbon-filament bulbs.,4,United States,,Encyclopaedia Britannica,https://www.britannica.com/technology/incandescent-lamp,0.93,industry;technology
Timeline of Artificial Light,artificial-light,"A timeline of major milestones in the technologies humans used to create artificial light, from early oil lamps to modern LED illumination.",technology,17,1910,year,Neon lighting is unveiled,"Georges Claude demonstrated neon lamps, opening the age of electric illuminated signage.",4,"Paris, France",,Encyclopaedia Britannica,https://www.britannica.com/technology/neon-lamp,0.9,advertising;technology
Timeline of Artificial Light,artificial-light,"A timeline of major milestones in the technologies humans used to create artificial light, from early oil lamps to modern LED illumination.",technology,18,1938,year,Fluorescent lamps reach the mass market,Fluorescent lighting offered higher efficiency than incandescent bulbs and became standard in workplaces and institutions.,4,United States,,U.S. Department of Energy,https://www.energy.gov/articles/history-light-bulb,0.96,industry;technology
