timeline_title,timeline_slug,timeline_description,category,event_order,date,date_precision,title,description,importance,location,image_url,source_publisher,source_url,source_credibility,tags
Timeline of Ancient Egypt,timeline-of-ancient-egypt,"Major political, cultural, and imperial milestones in ancient Egyptian history from unification to the Arab conquest.",history,1,c. 3100 BCE,approximate,Egypt is unified under Narmer,"Upper and Lower Egypt are united under a single ruler, conventionally identified as Narmer or Menes.",5,Egypt,,Britannica,https://www.britannica.com/place/ancient-Egypt,0.95,egypt;state
Timeline of Ancient Egypt,timeline-of-ancient-egypt,"Major political, cultural, and imperial milestones in ancient Egyptian history from unification to the Arab conquest.",history,2,c. 2900 BCE,approximate,Early Dynastic Period begins,"The first dynasties consolidate royal authority, administration, and early state institutions.",4,Egypt,,Britannica,https://www.britannica.com/place/ancient-Egypt/The-Predynastic-and-Early-Dynastic-periods,0.95,egypt;dynasty
Timeline of Ancient Egypt,timeline-of-ancient-egypt,"Major political, cultural, and imperial milestones in ancient Egyptian history from unification to the Arab conquest.",history,3,c. 2686 BCE,approximate,Old Kingdom begins,The Old Kingdom opens a major era of centralized monarchy and monumental building.,4,Egypt,,Britannica,https://www.britannica.com/place/ancient-Egypt/The-Old-Kingdom-c-2543-c-2120-bce-and-the-First-Intermediate-period-c-2118-c-1980-bce,0.95,egypt;kingdom
Timeline of Ancient Egypt,timeline-of-ancient-egypt,"Major political, cultural, and imperial milestones in ancient Egyptian history from unification to the Arab conquest.",history,4,c. 2630 BCE,approximate,Step Pyramid of Djoser is built,The Step Pyramid at Saqqara marks a major development in royal monument construction.,4,"Saqqara, Egypt",,Britannica,https://www.britannica.com/topic/Step-Pyramid,0.95,architecture;egypt
Timeline of Ancient Egypt,timeline-of-ancient-egypt,"Major political, cultural, and imperial milestones in ancient Egyptian history from unification to the Arab conquest.",history,5,c. 2580 BCE,approximate,Construction of the Great Pyramid begins,Khufu's pyramid at Giza becomes the largest and most famous monument of ancient Egypt.,5,"Giza, Egypt",,Britannica,https://www.britannica.com/topic/Great-Pyramid-of-Giza,0.95,architecture;egypt
Timeline of Ancient Egypt,timeline-of-ancient-egypt,"Major political, cultural, and imperial milestones in ancient Egyptian history from unification to the Arab conquest.",history,6,c. 2181 BCE,approximate,Old Kingdom collapses,Central authority weakens and Egypt enters the First Intermediate Period.,4,Egypt,,Britannica,https://www.britannica.com/place/ancient-Egypt/The-Old-Kingdom-c-2543-c-2120-bce-and-the-First-Intermediate-period-c-2118-c-1980-bce,0.95,egypt;politics
Timeline of Ancient Egypt,timeline-of-ancient-egypt,"Major political, cultural, and imperial milestones in ancient Egyptian history from unification to the Arab conquest.",history,7,c. 2055 BCE,approximate,Mentuhotep II reunifies Egypt,The reunification of Egypt ushers in the Middle Kingdom.,5,Egypt,,Britannica,https://www.britannica.com/biography/Mentuhotep-II,0.95,egypt;state
Timeline of Ancient Egypt,timeline-of-ancient-egypt,"Major political, cultural, and imperial milestones in ancient Egyptian history from unification to the Arab conquest.",history,8,c. 1650 BCE,approximate,Hyksos dominate northern Egypt,The Hyksos establish control in the Nile Delta during the Second Intermediate Period.,4,Lower Egypt,,Britannica,https://www.britannica.com/topic/Hyksos,0.95,egypt;invasion
Timeline of Ancient Egypt,timeline-of-ancient-egypt,"Major political, cultural, and imperial milestones in ancient Egyptian history from unification to the Arab conquest.",history,9,c. 1550 BCE,approximate,Ahmose I expels the Hyksos,"The expulsion of the Hyksos begins the New Kingdom, Egypt's imperial age.",5,Egypt,,Britannica,https://www.britannica.com/biography/Ahmose-I,0.95,egypt;empire
Timeline of Ancient Egypt,timeline-of-ancient-egypt,"Major political, cultural, and imperial milestones in ancient Egyptian history from unification to the Arab conquest.",history,10,1479 BCE,year,Hatshepsut becomes pharaoh,Hatshepsut rules as king and sponsors major building projects and trade expeditions.,4,Egypt,,Britannica,https://www.britannica.com/biography/Hatshepsut,0.95,egypt;monarchy
