timeline_title,timeline_slug,timeline_description,category,event_order,date,date_precision,title,description,importance,location,image_url,source_publisher,source_url,source_credibility,tags
Timeline of the Norman Conquest of England,norman-conquest-of-england,"Major events in the succession crisis, invasion, consolidation, and administrative transformation of England during and immediately after the Norman Conquest.",history,1,1066-01-05,day,Edward the Confessor dies,The death of Edward the Confessor without a surviving heir triggers a succession crisis that opens the way for rival claims to the English crown.,5,"Westminster, England",,Encyclopaedia Britannica,https://www.britannica.com/event/Norman-Conquest,0.95,england;monarchy
Timeline of the Norman Conquest of England,norman-conquest-of-england,"Major events in the succession crisis, invasion, consolidation, and administrative transformation of England during and immediately after the Norman Conquest.",history,2,1066-01-06,day,Harold Godwinson is crowned king,"Harold Godwinson is crowned Harold II, but his accession is contested by William of Normandy and Harald Hardrada of Norway.",5,"Westminster, England",,Encyclopaedia Britannica,https://www.britannica.com/event/Norman-Conquest,0.95,england;monarchy
Timeline of the Norman Conquest of England,norman-conquest-of-england,"Major events in the succession crisis, invasion, consolidation, and administrative transformation of England during and immediately after the Norman Conquest.",history,3,1066-09-20,day,Harald Hardrada invades northern England,The Norwegian king enters the succession struggle by invading northern England with the support of Tostig Godwinson.,4,"Yorkshire, England",,Encyclopaedia Britannica,https://www.britannica.com/event/Norman-Conquest,0.95,war;england
Timeline of the Norman Conquest of England,norman-conquest-of-england,"Major events in the succession crisis, invasion, consolidation, and administrative transformation of England during and immediately after the Norman Conquest.",history,4,1066-09-20,day,Battle of Fulford is fought,"English forces led by Edwin and Morcar are defeated near York, allowing the Norwegian invaders to occupy the area temporarily.",4,"Fulford, England",,Encyclopaedia Britannica,https://www.britannica.com/event/Norman-Conquest,0.95,battle;england
Timeline of the Norman Conquest of England,norman-conquest-of-england,"Major events in the succession crisis, invasion, consolidation, and administrative transformation of England during and immediately after the Norman Conquest.",history,5,1066-09-25,day,Harold II wins the Battle of Stamford Bridge,"Harold II defeats and kills Harald Hardrada, ending the Norwegian challenge but exhausting his army before William's landing.",5,"Stamford Bridge, England",,Encyclopaedia Britannica,https://www.britannica.com/event/Norman-Conquest,0.95,battle;england
Timeline of the Norman Conquest of England,norman-conquest-of-england,"Major events in the succession crisis, invasion, consolidation, and administrative transformation of England during and immediately after the Norman Conquest.",history,6,1066-09-28,day,William lands at Pevensey,William of Normandy lands in Sussex with an invasion force and begins building fortified bases on the south coast.,5,"Pevensey, England",,Encyclopaedia Britannica,https://www.britannica.com/event/Norman-Conquest,0.95,invasion;england
Timeline of the Norman Conquest of England,norman-conquest-of-england,"Major events in the succession crisis, invasion, consolidation, and administrative transformation of England during and immediately after the Norman Conquest.",history,7,1066-10,month,Normans fortify Hastings,William's forces establish a strong position near Hastings while Harold marches south from Yorkshire to meet the invasion.,4,"Hastings, England",,Encyclopaedia Britannica,https://www.britannica.com/event/Norman-Conquest,0.95,invasion;war
Timeline of the Norman Conquest of England,norman-conquest-of-england,"Major events in the succession crisis, invasion, consolidation, and administrative transformation of England during and immediately after the Norman Conquest.",history,8,1066-10-14,day,Battle of Hastings is fought,William defeats Harold II at Hastings in the decisive battle of the conquest; Harold is killed and the English army collapses.,5,"Hastings, England",,Encyclopaedia Britannica,https://www.britannica.com/event/Battle-of-Hastings,0.95,battle;england
Timeline of the Norman Conquest of England,norman-conquest-of-england,"Major events in the succession crisis, invasion, consolidation, and administrative transformation of England during and immediately after the Norman Conquest.",history,9,1066-10,month,Normans secure Dover,"William advances along the south coast and takes Dover, gaining control of a major port and a key route to the Continent.",4,"Dover, England",,Encyclopaedia Britannica,https://www.britannica.com/place/United-Kingdom/The-Normans-1066-1154,0.95,england;state
Timeline of the Norman Conquest of England,norman-conquest-of-england,"Major events in the succession crisis, invasion, consolidation, and administrative transformation of England during and immediately after the Norman Conquest.",history,10,1066-11,month,English leaders submit at Berkhamsted,Leading English nobles and churchmen recognize William after his advance on London and the weakening of organized resistance.,4,"Berkhamsted, England",,Encyclopaedia Britannica,https://www.britannica.com/event/Norman-Conquest,0.95,monarchy;england
Timeline of the Norman Conquest of England,norman-conquest-of-england,"Major events in the succession crisis, invasion, consolidation, and administrative transformation of England during and immediately after the Norman Conquest.",history,11,1066-12-25,day,William is crowned king of England,"William is crowned William I in Westminster Abbey, formally establishing Norman rule over England.",5,"Westminster, England",,Encyclopaedia Britannica,https://www.britannica.com/event/Norman-Conquest,0.95,monarchy;england
Timeline of the Norman Conquest of England,norman-conquest-of-england,"Major events in the succession crisis, invasion, consolidation, and administrative transformation of England during and immediately after the Norman Conquest.",history,12,1067,year,William returns briefly to Normandy,William leaves England in the hands of trusted regents while he secures his continental lands and manages cross-Channel rule.,3,Normandy,,Encyclopaedia Britannica,https://www.britannica.com/place/United-Kingdom/The-Normans-1066-1154,0.95,monarchy;normandy
Timeline of the Norman Conquest of England,norman-conquest-of-england,"Major events in the succession crisis, invasion, consolidation, and administrative transformation of England during and immediately after the Norman Conquest.",history,13,1068,year,Rebellions erupt in Exeter and the north,"Resistance to Norman rule breaks out in several regions, forcing William to campaign repeatedly to impose authority.",4,England,,Encyclopaedia Britannica,https://www.britannica.com/place/United-Kingdom/The-Normans-1066-1154,0.95,rebellion;england
Timeline of the Norman Conquest of England,norman-conquest-of-england,"Major events in the succession crisis, invasion, consolidation, and administrative transformation of England during and immediately after the Norman Conquest.",history,14,1068,year,York becomes a center of resistance,"Opposition gathers around York, drawing William into further northern campaigns and castle-building efforts.",4,"York, England",,Encyclopaedia Britannica,https://www.britannica.com/place/United-Kingdom/The-Normans-1066-1154,0.95,rebellion;england
Timeline of the Norman Conquest of England,norman-conquest-of-england,"Major events in the succession crisis, invasion, consolidation, and administrative transformation of England during and immediately after the Norman Conquest.",history,15,1069,year,Danish-backed rebellion flares,"A Danish fleet supports anti-Norman forces in northern England, creating the most serious challenge to William's rule after 1066.",4,Northern England,,Encyclopaedia Britannica,https://www.britannica.com/place/United-Kingdom/The-Normans-1066-1154,0.95,rebellion;war
Timeline of the Norman Conquest of England,norman-conquest-of-england,"Major events in the succession crisis, invasion, consolidation, and administrative transformation of England during and immediately after the Norman Conquest.",history,16,c. 1070,approximate,Harrying of the North devastates the region,"William suppresses resistance through a brutal campaign of destruction in northern England, leaving long-term demographic and economic damage.",5,Northern England,,Encyclopaedia Britannica,https://www.britannica.com/place/United-Kingdom/The-Normans-1066-1154,0.95,war;england
Timeline of the Norman Conquest of England,norman-conquest-of-england,"Major events in the succession crisis, invasion, consolidation, and administrative transformation of England during and immediately after the Norman Conquest.",history,17,1070,year,Lanfranc becomes archbishop of Canterbury,The appointment of Lanfranc strengthens Norman control over the English church and supports wider administrative reform.,4,"Canterbury, England",,Encyclopaedia Britannica,https://www.britannica.com/place/United-Kingdom/The-Normans-1066-1154,0.95,church;england
Timeline of the Norman Conquest of England,norman-conquest-of-england,"Major events in the succession crisis, invasion, consolidation, and administrative transformation of England during and immediately after the Norman Conquest.",history,18,1071,year,Hereward's resistance at Ely ends,The fall of the Ely resistance marks the effective end of major organized Anglo-Saxon military opposition to William.,4,"Ely, England",,Encyclopaedia Britannica,https://www.britannica.com/place/United-Kingdom/The-Normans-1066-1154,0.95,rebellion;england
Timeline of the Norman Conquest of England,norman-conquest-of-england,"Major events in the succession crisis, invasion, consolidation, and administrative transformation of England during and immediately after the Norman Conquest.",history,19,1072,year,Treaty of Abernethy acknowledges William's position,"Malcolm III of Scotland reaches terms with William, helping stabilize England's northern frontier after the conquest.",3,"Abernethy, Scotland",,Encyclopaedia Britannica,https://www.britannica.com/place/United-Kingdom/The-Normans-1066-1154,0.95,diplomacy;england
Timeline of the Norman Conquest of England,norman-conquest-of-england,"Major events in the succession crisis, invasion, consolidation, and administrative transformation of England during and immediately after the Norman Conquest.",history,20,1075,year,Revolt of the Earls is crushed,"William suppresses a conspiracy by Norman and Breton nobles, demonstrating the durability of the new regime.",4,England,,Encyclopaedia Britannica,https://www.britannica.com/place/United-Kingdom/The-Normans-1066-1154,0.95,rebellion;monarchy
Timeline of the Norman Conquest of England,norman-conquest-of-england,"Major events in the succession crisis, invasion, consolidation, and administrative transformation of England during and immediately after the Norman Conquest.",history,21,1085,year,Domesday survey is ordered,William orders a kingdom-wide inquiry into landholding and resources to improve taxation and royal control.,5,England,,The National Archives,https://www.nationalarchives.gov.uk/help-with-your-research/research-guides/domesday-book/,0.97,state;england
Timeline of the Norman Conquest of England,norman-conquest-of-england,"Major events in the succession crisis, invasion, consolidation, and administrative transformation of England during and immediately after the Norman Conquest.",history,22,1086,year,Domesday Book is completed,"The Domesday survey is compiled, providing a landmark record of Norman administration and post-conquest landholding.",5,England,,The National Archives,https://www.nationalarchives.gov.uk/help-with-your-research/research-guides/domesday-book/,0.97,state;england
Timeline of the Meiji Restoration,meiji-restoration,"Major events in the political revolution, state-building, and early reform era that transformed Japan during the Meiji Restoration.",politics,1,1853-07-08,day,Commodore Perry arrives in Japan,"An American squadron under Commodore Matthew Perry reaches Edo Bay, intensifying pressure on the Tokugawa shogunate to end isolation.",5,"Edo Bay, Japan",,Encyclopaedia Britannica,https://www.britannica.com/event/Meiji-Restoration,0.95,japan;diplomacy
Timeline of the Meiji Restoration,meiji-restoration,"Major events in the political revolution, state-building, and early reform era that transformed Japan during the Meiji Restoration.",politics,2,1854-03-31,day,Treaty of Kanagawa is signed,"Japan signs a treaty with the United States, opening limited relations and exposing the weakness of the shogunate's isolation policy.",5,"Kanagawa, Japan",,Encyclopaedia Britannica,https://www.britannica.com/event/Meiji-Restoration,0.95,japan;diplomacy
Timeline of the Meiji Restoration,meiji-restoration,"Major events in the political revolution, state-building, and early reform era that transformed Japan during the Meiji Restoration.",politics,3,1858,year,Ansei Treaties expand foreign access,Commercial treaties with Western powers deepen domestic opposition to the shogunate and strengthen anti-foreign political unrest.,4,Japan,,Encyclopaedia Britannica,https://www.britannica.com/event/Meiji-Restoration,0.95,japan;diplomacy
