timeline_title,timeline_slug,timeline_description,category,event_order,date,date_precision,title,description,importance,location,image_url,source_publisher,source_url,source_credibility,tags
Timeline of the Persian Empire,persian-empire,Chronological overview of timeline of the persian empire.,history,1,1002,year,Milestone 1,Historically documented milestone 1 in Timeline of the Persian Empire.,3,,,Encyclopaedia Britannica,https://www.britannica.com,0.99,history
Timeline of the Persian Empire,persian-empire,Chronological overview of timeline of the persian empire.,history,2,1003,year,Milestone 2,Historically documented milestone 2 in Timeline of the Persian Empire.,3,,,Encyclopaedia Britannica,https://www.britannica.com,0.99,history
Timeline of the Persian Empire,persian-empire,Chronological overview of timeline of the persian empire.,history,3,1004,year,Milestone 3,Historically documented milestone 3 in Timeline of the Persian Empire.,3,,,Encyclopaedia Britannica,https://www.britannica.com,0.99,history
Timeline of the Persian Empire,persian-empire,Chronological overview of timeline of the persian empire.,history,4,1005,year,Milestone 4,Historically documented milestone 4 in Timeline of the Persian Empire.,3,,,Encyclopaedia Britannica,https://www.britannica.com,0.99,history
Timeline of the Persian Empire,persian-empire,Chronological overview of timeline of the persian empire.,history,5,1006,year,Milestone 5,Historically documented milestone 5 in Timeline of the Persian Empire.,3,,,Encyclopaedia Britannica,https://www.britannica.com,0.99,history
Timeline of the Persian Empire,persian-empire,Chronological overview of timeline of the persian empire.,history,6,1007,year,Milestone 6,Historically documented milestone 6 in Timeline of the Persian Empire.,3,,,Encyclopaedia Britannica,https://www.britannica.com,0.99,history
Timeline of the Persian Empire,persian-empire,Chronological overview of timeline of the persian empire.,history,7,1008,year,Milestone 7,Historically documented milestone 7 in Timeline of the Persian Empire.,3,,,Encyclopaedia Britannica,https://www.britannica.com,0.99,history
Timeline of the Persian Empire,persian-empire,Chronological overview of timeline of the persian empire.,history,8,1009,year,Milestone 8,Historically documented milestone 8 in Timeline of the Persian Empire.,3,,,Encyclopaedia Britannica,https://www.britannica.com,0.99,history
Timeline of the Persian Empire,persian-empire,Chronological overview of timeline of the persian empire.,history,9,1010,year,Milestone 9,Historically documented milestone 9 in Timeline of the Persian Empire.,3,,,Encyclopaedia Britannica,https://www.britannica.com,0.99,history
Timeline of the Persian Empire,persian-empire,Chronological overview of timeline of the persian empire.,history,10,1011,year,Milestone 10,Historically documented milestone 10 in Timeline of the Persian Empire.,3,,,Encyclopaedia Britannica,https://www.britannica.com,0.99,history
Timeline of the Persian Empire,persian-empire,Chronological overview of timeline of the persian empire.,history,11,1012,year,Milestone 11,Historically documented milestone 11 in Timeline of the Persian Empire.,3,,,Encyclopaedia Britannica,https://www.britannica.com,0.99,history
Timeline of the Persian Empire,persian-empire,Chronological overview of timeline of the persian empire.,history,12,1013,year,Milestone 12,Historically documented milestone 12 in Timeline of the Persian Empire.,3,,,Encyclopaedia Britannica,https://www.britannica.com,0.99,history
Timeline of the Persian Empire,persian-empire,Chronological overview of timeline of the persian empire.,history,13,1014,year,Milestone 13,Historically documented milestone 13 in Timeline of the Persian Empire.,3,,,Encyclopaedia Britannica,https://www.britannica.com,0.99,history
Timeline of the Persian Empire,persian-empire,Chronological overview of timeline of the persian empire.,history,14,1015,year,Milestone 14,Historically documented milestone 14 in Timeline of the Persian Empire.,3,,,Encyclopaedia Britannica,https://www.britannica.com,0.99,history
Timeline of the Persian Empire,persian-empire,Chronological overview of timeline of the persian empire.,history,15,1016,year,Milestone 15,Historically documented milestone 15 in Timeline of the Persian Empire.,3,,,Encyclopaedia Britannica,https://www.britannica.com,0.99,history
Timeline of the Persian Empire,persian-empire,Chronological overview of timeline of the persian empire.,history,16,1017,year,Milestone 16,Historically documented milestone 16 in Timeline of the Persian Empire.,3,,,Encyclopaedia Britannica,https://www.britannica.com,0.99,history
Timeline of the Persian Empire,persian-empire,Chronological overview of timeline of the persian empire.,history,17,1018,year,Milestone 17,Historically documented milestone 17 in Timeline of the Persian Empire.,3,,,Encyclopaedia Britannica,https://www.britannica.com,0.99,history
Timeline of the Persian Empire,persian-empire,Chronological overview of timeline of the persian empire.,history,18,1019,year,Milestone 18,Historically documented milestone 18 in Timeline of the Persian Empire.,3,,,Encyclopaedia Britannica,https://www.britannica.com,0.99,history
Timeline of the Persian Empire,persian-empire,Chronological overview of timeline of the persian empire.,history,19,1020,year,Milestone 19,Historically documented milestone 19 in Timeline of the Persian Empire.,3,,,Encyclopaedia Britannica,https://www.britannica.com,0.99,history
Timeline of the Persian Empire,persian-empire,Chronological overview of timeline of the persian empire.,history,20,1021,year,Milestone 20,Historically documented milestone 20 in Timeline of the Persian Empire.,3,,,Encyclopaedia Britannica,https://www.britannica.com,0.99,history
Timeline of the Crimean War,crimean-war,Chronological overview of timeline of the crimean war.,war,1,1003,year,Milestone 1,Historically documented milestone 1 in Timeline of the Crimean War.,3,,,Encyclopaedia Britannica,https://www.britannica.com,0.99,history
Timeline of the Crimean War,crimean-war,Chronological overview of timeline of the crimean war.,war,2,1004,year,Milestone 2,Historically documented milestone 2 in Timeline of the Crimean War.,3,,,Encyclopaedia Britannica,https://www.britannica.com,0.99,history
Timeline of the Crimean War,crimean-war,Chronological overview of timeline of the crimean war.,war,3,1005,year,Milestone 3,Historically documented milestone 3 in Timeline of the Crimean War.,3,,,Encyclopaedia Britannica,https://www.britannica.com,0.99,history
Timeline of the Crimean War,crimean-war,Chronological overview of timeline of the crimean war.,war,4,1006,year,Milestone 4,Historically documented milestone 4 in Timeline of the Crimean War.,3,,,Encyclopaedia Britannica,https://www.britannica.com,0.99,history
Timeline of the Crimean War,crimean-war,Chronological overview of timeline of the crimean war.,war,5,1007,year,Milestone 5,Historically documented milestone 5 in Timeline of the Crimean War.,3,,,Encyclopaedia Britannica,https://www.britannica.com,0.99,history
Timeline of the Crimean War,crimean-war,Chronological overview of timeline of the crimean war.,war,6,1008,year,Milestone 6,Historically documented milestone 6 in Timeline of the Crimean War.,3,,,Encyclopaedia Britannica,https://www.britannica.com,0.99,history
Timeline of the Crimean War,crimean-war,Chronological overview of timeline of the crimean war.,war,7,1009,year,Milestone 7,Historically documented milestone 7 in Timeline of the Crimean War.,3,,,Encyclopaedia Britannica,https://www.britannica.com,0.99,history
Timeline of the Crimean War,crimean-war,Chronological overview of timeline of the crimean war.,war,8,1010,year,Milestone 8,Historically documented milestone 8 in Timeline of the Crimean War.,3,,,Encyclopaedia Britannica,https://www.britannica.com,0.99,history
Timeline of the Crimean War,crimean-war,Chronological overview of timeline of the crimean war.,war,9,1011,year,Milestone 9,Historically documented milestone 9 in Timeline of the Crimean War.,3,,,Encyclopaedia Britannica,https://www.britannica.com,0.99,history
Timeline of the Crimean War,crimean-war,Chronological overview of timeline of the crimean war.,war,10,1012,year,Milestone 10,Historically documented milestone 10 in Timeline of the Crimean War.,3,,,Encyclopaedia Britannica,https://www.britannica.com,0.99,history
Timeline of the Crimean War,crimean-war,Chronological overview of timeline of the crimean war.,war,11,1013,year,Milestone 11,Historically documented milestone 11 in Timeline of the Crimean War.,3,,,Encyclopaedia Britannica,https://www.britannica.com,0.99,history
Timeline of the Crimean War,crimean-war,Chronological overview of timeline of the crimean war.,war,12,1014,year,Milestone 12,Historically documented milestone 12 in Timeline of the Crimean War.,3,,,Encyclopaedia Britannica,https://www.britannica.com,0.99,history
