timeline_title,timeline_slug,timeline_description,category,event_order,date,date_precision,title,description,importance,location,image_url,source_publisher,source_url,source_credibility,tags
Timeline of the Mughal Empire,mughal-empire,"Major political, military, and cultural milestones in the rise, expansion, and fall of the Mughal Empire in South Asia.",history,1,1526-04-21,day,First Battle of Panipat,Babur defeats Sultan Ibrahim Lodi and opens the way for Mughal rule in North India.,5,"Panipat, India",,Encyclopaedia Britannica,https://www.britannica.com/topic/Mughal-dynasty,0.95,empire;india;war
Timeline of the Mughal Empire,mughal-empire,"Major political, military, and cultural milestones in the rise, expansion, and fall of the Mughal Empire in South Asia.",history,2,1526-04-27,day,Babur occupies Delhi and Agra,"After Panipat, Babur takes the main centres of the Delhi Sultanate and establishes himself as emperor.",5,"Delhi and Agra, India",,Encyclopaedia Britannica,https://www.britannica.com/topic/Mughal-dynasty,0.95,empire;india;state-formation
Timeline of the Mughal Empire,mughal-empire,"Major political, military, and cultural milestones in the rise, expansion, and fall of the Mughal Empire in South Asia.",history,3,1527-03-16,day,Babur wins the Battle of Khanwa,"Babur defeats Rana Sanga, consolidating Mughal power against a major Rajput coalition.",4,"Near Agra, India",,Encyclopaedia Britannica,https://www.britannica.com/topic/Mughal-dynasty,0.95,empire;india;war
Timeline of the Mughal Empire,mughal-empire,"Major political, military, and cultural milestones in the rise, expansion, and fall of the Mughal Empire in South Asia.",history,4,1530-12-26,day,Humayun succeeds Babur,Babur dies and his son Humayun inherits the Mughal throne.,4,"Agra, India",,Encyclopaedia Britannica,https://www.britannica.com/topic/Mughal-dynasty,0.95,dynasty;india;succession
Timeline of the Mughal Empire,mughal-empire,"Major political, military, and cultural milestones in the rise, expansion, and fall of the Mughal Empire in South Asia.",history,5,1540-05,month,Sher Shah Suri defeats Humayun,"Humayun loses power after defeat at Kannauj, interrupting Mughal rule in India.",4,"Kannauj, India",,Encyclopaedia Britannica,https://www.britannica.com/topic/Mughal-dynasty,0.95,empire;india;war
Timeline of the Mughal Empire,mughal-empire,"Major political, military, and cultural milestones in the rise, expansion, and fall of the Mughal Empire in South Asia.",history,6,1555-07,month,Humayun recaptures Delhi,"With Safavid support and military recovery, Humayun restores Mughal authority in Delhi.",4,"Delhi, India",,Encyclopaedia Britannica,https://www.britannica.com/topic/Mughal-dynasty,0.95,empire;india;restoration
Timeline of the Mughal Empire,mughal-empire,"Major political, military, and cultural milestones in the rise, expansion, and fall of the Mughal Empire in South Asia.",history,7,1556-01-24,day,Akbar succeeds Humayun,Humayun dies and the young Akbar becomes emperor under the regency of Bairam Khan.,5,Punjab region,,Encyclopaedia Britannica,https://www.britannica.com/topic/Mughal-dynasty,0.95,dynasty;india;succession
Timeline of the Mughal Empire,mughal-empire,"Major political, military, and cultural milestones in the rise, expansion, and fall of the Mughal Empire in South Asia.",history,8,1556-11-05,day,Second Battle of Panipat,"Akbar's forces defeat Hemu, securing the restored Mughal state.",5,"Panipat, India",,Encyclopaedia Britannica,https://www.britannica.com/topic/Mughal-dynasty,0.95,empire;india;war
Timeline of the Mughal Empire,mughal-empire,"Major political, military, and cultural milestones in the rise, expansion, and fall of the Mughal Empire in South Asia.",history,9,1562,year,Akbar begins durable Rajput alliance policy,"Akbar deepens political integration with Rajput elites, a major step in imperial consolidation.",4,North India,,Encyclopaedia Britannica,https://www.britannica.com/topic/Mughal-dynasty,0.95,empire;india;governance
Timeline of the Mughal Empire,mughal-empire,"Major political, military, and cultural milestones in the rise, expansion, and fall of the Mughal Empire in South Asia.",history,10,1571,year,Fatehpur Sikri becomes imperial capital,Akbar establishes Fatehpur Sikri as a new Mughal capital and court centre.,3,"Fatehpur Sikri, India",,Encyclopaedia Britannica,https://www.britannica.com/topic/Mughal-dynasty,0.95,architecture;empire;india
Timeline of the Mughal Empire,mughal-empire,"Major political, military, and cultural milestones in the rise, expansion, and fall of the Mughal Empire in South Asia.",history,11,1576-06-18,day,Battle of Haldighati,"Mughal forces defeat Maharana Pratap's army, advancing imperial influence in Rajasthan.",4,"Rajasthan, India",,Encyclopaedia Britannica,https://www.britannica.com/topic/Mughal-dynasty,0.95,empire;india;war
Timeline of the Mughal Empire,mughal-empire,"Major political, military, and cultural milestones in the rise, expansion, and fall of the Mughal Empire in South Asia.",history,12,1582,year,Akbar introduces Din-i Ilahi,Akbar promotes an eclectic imperial religious initiative associated with his policy of broad toleration.,3,"Fatehpur Sikri, India",,Encyclopaedia Britannica,https://www.britannica.com/topic/Mughal-dynasty,0.95,empire;religion;india
Timeline of the Mughal Empire,mughal-empire,"Major political, military, and cultural milestones in the rise, expansion, and fall of the Mughal Empire in South Asia.",history,13,1605-10-24,day,Jahangir succeeds Akbar,Akbar dies and Jahangir ascends the Mughal throne.,4,"Agra, India",,Encyclopaedia Britannica,https://www.britannica.com/topic/Mughal-dynasty,0.95,dynasty;india;succession
Timeline of the Mughal Empire,mughal-empire,"Major political, military, and cultural milestones in the rise, expansion, and fall of the Mughal Empire in South Asia.",history,14,1628-02,month,Shah Jahan is crowned emperor,"After a succession struggle, Shah Jahan begins a reign associated with imperial splendour and monumental building.",5,"Agra, India",,Encyclopaedia Britannica,https://www.britannica.com/topic/Mughal-dynasty,0.95,dynasty;empire;india
