timeline_title,timeline_slug,timeline_description,category,event_order,date,date_precision,title,description,importance,location,image_url,source_publisher,source_url,source_credibility,tags
Timeline of the Arab-Israeli Conflict,arab-israeli-conflict,"Major diplomatic, military, and political milestones in the Arab-Israeli conflict from the late Ottoman period to the present era.",politics,1,1897,year,First Zionist Congress convenes,Delegates meet in Basel to organize the modern Zionist movement and promote a Jewish homeland in Palestine.,4,"Basel, Switzerland",,Encyclopaedia Britannica,https://www.britannica.com/topic/Zionism,0.98,politics;middle-east
Timeline of the Arab-Israeli Conflict,arab-israeli-conflict,"Major diplomatic, military, and political milestones in the Arab-Israeli conflict from the late Ottoman period to the present era.",politics,2,1917-11-02,day,Britain issues the Balfour Declaration,The British government announces support for the establishment of a national home for the Jewish people in Palestine.,5,"London, United Kingdom",,Encyclopaedia Britannica,https://www.britannica.com/event/Balfour-Declaration,0.98,diplomacy;middle-east
Timeline of the Arab-Israeli Conflict,arab-israeli-conflict,"Major diplomatic, military, and political milestones in the Arab-Israeli conflict from the late Ottoman period to the present era.",politics,3,1922-07-24,day,League of Nations approves the Mandate for Palestine,The mandate formalizes British administration of Palestine and incorporates support for a Jewish national home.,5,"Geneva, Switzerland",,Encyclopaedia Britannica,https://www.britannica.com/place/Palestine/The-British-mandate,0.98,colonialism;middle-east
Timeline of the Arab-Israeli Conflict,arab-israeli-conflict,"Major diplomatic, military, and political milestones in the Arab-Israeli conflict from the late Ottoman period to the present era.",politics,4,1936-04,month,Arab Revolt begins in Palestine,A large-scale Arab uprising breaks out against British rule and growing Jewish immigration.,4,Mandatory Palestine,,Encyclopaedia Britannica,https://www.britannica.com/event/Arab-Revolt,0.98,revolt;middle-east
Timeline of the Arab-Israeli Conflict,arab-israeli-conflict,"Major diplomatic, military, and political milestones in the Arab-Israeli conflict from the late Ottoman period to the present era.",politics,5,1947-11-29,day,UN adopts the partition plan,The United Nations recommends partitioning Palestine into separate Arab and Jewish states with a special regime for Jerusalem.,5,"New York, United States",,United Nations,https://www.un.org/unispal/document/auto-insert-185393/,0.99,united-nations;diplomacy
Timeline of the Arab-Israeli Conflict,arab-israeli-conflict,"Major diplomatic, military, and political milestones in the Arab-Israeli conflict from the late Ottoman period to the present era.",politics,6,1948-05-14,day,State of Israel is proclaimed,David Ben-Gurion declares the establishment of Israel as the British Mandate comes to an end.,5,"Tel Aviv, Israel",,Encyclopaedia Britannica,https://www.britannica.com/place/Israel/Israel-under-Ben-Gurion,0.98,statehood;middle-east
Timeline of the Arab-Israeli Conflict,arab-israeli-conflict,"Major diplomatic, military, and political milestones in the Arab-Israeli conflict from the late Ottoman period to the present era.",politics,7,1948-05-15,day,First Arab-Israeli War begins,"Armies from neighboring Arab states invade after Israel's declaration of independence, widening the conflict into a regional war.",5,Middle East,,Encyclopaedia Britannica,https://www.britannica.com/event/Arab-Israeli-wars,0.98,war;middle-east
Timeline of the Arab-Israeli Conflict,arab-israeli-conflict,"Major diplomatic, military, and political milestones in the Arab-Israeli conflict from the late Ottoman period to the present era.",politics,8,1949-07,month,Armistice agreements end the 1948 war,"Israel signs armistice agreements with Egypt, Lebanon, Jordan, and Syria, establishing new ceasefire lines.",4,Middle East,,Encyclopaedia Britannica,https://www.britannica.com/event/Arab-Israeli-wars,0.98,war;diplomacy
Timeline of the Arab-Israeli Conflict,arab-israeli-conflict,"Major diplomatic, military, and political milestones in the Arab-Israeli conflict from the late Ottoman period to the present era.",politics,9,1956-10-29,day,Suez Crisis erupts,Israel attacks Egypt in coordination with Britain and France after the nationalization of the Suez Canal.,5,"Sinai Peninsula, Egypt",,Encyclopaedia Britannica,https://www.britannica.com/event/Suez-Crisis,0.98,war;egypt
Timeline of the Arab-Israeli Conflict,arab-israeli-conflict,"Major diplomatic, military, and political milestones in the Arab-Israeli conflict from the late Ottoman period to the present era.",politics,10,1964-05-28,day,Palestine Liberation Organization is founded,The PLO is established to represent Palestinian national aspirations and coordinate political and military action.,4,Jerusalem,,Encyclopaedia Britannica,https://www.britannica.com/topic/Palestine-Liberation-Organization,0.98,palestine;politics
