timeline_title,timeline_slug,timeline_description,category,event_order,date,date_precision,title,description,importance,location,image_url,source_publisher,source_url,source_credibility,tags
Timeline of Measurement,measurement,"Major milestones in the creation, standardization, and international coordination of systems of measurement.",science,1,c. 3000 BCE,approximate,Egyptian royal cubit standardized,"Ancient Egypt standardizes the cubit, one of the earliest known state-backed units of length.",4,Ancient Egypt,,Encyclopaedia Britannica,https://www.britannica.com/topic/weights-and-measures,0.95,measurement;standards
Timeline of Measurement,measurement,"Major milestones in the creation, standardization, and international coordination of systems of measurement.",science,2,c. 2400 BCE,approximate,Indus weights system used widely,"The Indus Valley civilization employs carefully graded stone weights, showing advanced commercial standardization.",4,Indus Valley,,Encyclopaedia Britannica,https://www.britannica.com/topic/weights-and-measures,0.93,measurement;trade
Timeline of Measurement,measurement,"Major milestones in the creation, standardization, and international coordination of systems of measurement.",science,3,c. 1750 BCE,approximate,Babylonian measures codified,"Mesopotamian legal and commercial practice helps formalize units for weight, length, and capacity.",3,Babylonia,,Encyclopaedia Britannica,https://www.britannica.com/topic/weights-and-measures,0.92,measurement;law
Timeline of Measurement,measurement,"Major milestones in the creation, standardization, and international coordination of systems of measurement.",science,4,c. 1100 BCE,approximate,Chinese bronze standards circulate,"Early Chinese states use bronze measures and weights to support administration, taxation, and exchange.",3,China,,Encyclopaedia Britannica,https://www.britannica.com/topic/weights-and-measures,0.92,measurement;china
Timeline of Measurement,measurement,"Major milestones in the creation, standardization, and international coordination of systems of measurement.",science,5,221 BCE,year,Qin unification standardizes measures,"The Qin state unifies weights, measures, and axle widths across imperial China.",5,China,,Encyclopaedia Britannica,https://www.britannica.com/topic/weights-and-measures,0.95,measurement;empire
Timeline of Measurement,measurement,"Major milestones in the creation, standardization, and international coordination of systems of measurement.",science,6,c. 100 BCE,approximate,Roman units spread across empire,Roman administration popularizes units such as the mile and foot across much of Europe and the Mediterranean.,4,Roman Empire,,Encyclopaedia Britannica,https://www.britannica.com/topic/weights-and-measures,0.93,measurement;rome
Timeline of Measurement,measurement,"Major milestones in the creation, standardization, and international coordination of systems of measurement.",science,7,1215,year,Magna Carta calls for uniform measures,"Magna Carta demands one standard measure for wine, ale, corn, and cloth in England.",4,England,,Encyclopaedia Britannica,https://www.britannica.com/topic/weights-and-measures,0.95,measurement;england;law
Timeline of Measurement,measurement,"Major milestones in the creation, standardization, and international coordination of systems of measurement.",science,8,1588,year,Tycho Brahe refines astronomical measurement,Precision instruments at Uraniborg improve observational accuracy and raise standards for scientific measurement.,3,Denmark,,Encyclopaedia Britannica,https://www.britannica.com/topic/measurement-system,0.9,measurement;astronomy
Timeline of Measurement,measurement,"Major milestones in the creation, standardization, and international coordination of systems of measurement.",science,9,1668,year,John Wilkins proposes decimal measures,Wilkins advocates a universal decimal system of measures in an early modern push toward rational standardization.,3,England,,Encyclopaedia Britannica,https://www.britannica.com/science/metric-system-measurement,0.9,measurement;metric-system
Timeline of Measurement,measurement,"Major milestones in the creation, standardization, and international coordination of systems of measurement.",science,10,1670,year,Gabriel Mouton designs a metric framework,"Mouton proposes a decimal system tied to Earth measurement, anticipating the metric system.",4,France,,Encyclopaedia Britannica,https://www.britannica.com/science/metric-system-measurement,0.92,measurement;metric-system
Timeline of Measurement,measurement,"Major milestones in the creation, standardization, and international coordination of systems of measurement.",science,11,1791,year,French Assembly commissions metric reform,"Revolutionary France orders the creation of a rational, universal system of weights and measures.",5,France,,Encyclopaedia Britannica,https://www.britannica.com/science/metric-system-measurement,0.97,measurement;metric-system;france
Timeline of Measurement,measurement,"Major milestones in the creation, standardization, and international coordination of systems of measurement.",science,12,1795,year,France adopts the metric system,"France formally adopts metric units, establishing the metre and kilogram as foundational standards.",5,France,,Encyclopaedia Britannica,https://www.britannica.com/science/metric-system-measurement,0.97,measurement;metric-system
Timeline of Measurement,measurement,"Major milestones in the creation, standardization, and international coordination of systems of measurement.",science,13,1824,year,British Imperial System established,The Weights and Measures Act creates the British Imperial System and standardizes the imperial gallon.,4,United Kingdom,,Encyclopaedia Britannica,https://www.britannica.com/topic/Imperial-unit,0.95,measurement;imperial-system
Timeline of Measurement,measurement,"Major milestones in the creation, standardization, and international coordination of systems of measurement.",science,14,1875-05-20,day,Metre Convention signed,"Seventeen states sign the Metre Convention, creating an international framework for measurement standards.",5,"Paris, France",,BIPM,https://www.bipm.org/en/convention-metre,0.99,measurement;international-cooperation
Timeline of Measurement,measurement,"Major milestones in the creation, standardization, and international coordination of systems of measurement.",science,15,1889,year,International prototypes adopted,The first General Conference on Weights and Measures adopts international prototype standards for the metre and kilogram.,5,"Paris, France",,BIPM,https://www.bipm.org/en/measurement-units,0.99,measurement;standards
Timeline of Measurement,measurement,"Major milestones in the creation, standardization, and international coordination of systems of measurement.",science,16,1960,year,International System of Units created,"The CGPM formally establishes the SI, creating a coherent modern international system of units.",5,"Paris, France",,BIPM,https://www.bipm.org/en/measurement-units,0.99,measurement;si
Timeline of Measurement,measurement,"Major milestones in the creation, standardization, and international coordination of systems of measurement.",science,17,1967,year,Second redefined by atomic transition,"The SI second is redefined using the caesium-133 atomic transition, tying time to atomic physics.",4,"Paris, France",,BIPM,https://www.bipm.org/en/measurement-units,0.99,measurement;time;si
Timeline of Measurement,measurement,"Major milestones in the creation, standardization, and international coordination of systems of measurement.",science,18,1983,year,Metre tied to speed of light,The metre is redefined by the distance light travels in vacuum in a fixed fraction of a second.,5,"Paris, France",,BIPM,https://www.bipm.org/en/measurement-units/si-defining-constants,0.99,measurement;physics;si
Timeline of Measurement,measurement,"Major milestones in the creation, standardization, and international coordination of systems of measurement.",science,19,2018-11-16,day,SI redefinition approved,"Delegates approve a revision that defines the kilogram, ampere, kelvin, and mole through fixed constants.",5,"Versailles, France",,BIPM,https://www.bipm.org/en/measurement-units,0.99,measurement;si;physics
Timeline of Measurement,measurement,"Major milestones in the creation, standardization, and international coordination of systems of measurement.",science,20,2019-05-20,day,Constant-based SI enters into force,All SI base units become defined through physical constants rather than artifact standards.,5,International,,BIPM,https://www.bipm.org/en/measurement-units,0.99,measurement;si;standards
Timeline of Cartography,cartography,Major milestones in mapmaking from ancient world maps to satellite-based digital cartography.,geography,1,c. 600 BCE,approximate,Babylonian world map created,The Babylonian Imago Mundi offers one of the earliest surviving world maps.,4,Babylonia,,Encyclopaedia Britannica,https://www.britannica.com/science/map,0.94,cartography;ancient-world
Timeline of Cartography,cartography,Major milestones in mapmaking from ancient world maps to satellite-based digital cartography.,geography,2,c. 550 BCE,approximate,Anaximander credited with world map,Greek tradition credits Anaximander with an early attempt to map the inhabited world.,3,Miletus,,Encyclopaedia Britannica,https://www.britannica.com/science/map,0.92,cartography;greece
Timeline of Cartography,cartography,Major milestones in mapmaking from ancient world maps to satellite-based digital cartography.,geography,3,c. 500 BCE,approximate,Hecataeus revises Greek mapping,Hecataeus of Miletus improves earlier Greek geographic representations of the known world.,3,Miletus,,Encyclopaedia Britannica,https://www.britannica.com/science/map,0.92,cartography;greece
