timeline_title,timeline_slug,timeline_description,category,event_order,date,date_precision,title,description,importance,location,image_url,source_publisher,source_url,source_credibility,tags
Timeline of the Strait of Hormuz,strait-of-hormuz,Chronology of the Strait of Hormuz as a strategic maritime chokepoint linking the Persian Gulf to the Gulf of Oman and the wider Indian Ocean.,geopolitics,1,c. 600 BCE,approximate,Achaemenid control of the Persian Gulf littoral,"Achaemenid expansion brought much of the northern Gulf littoral under imperial control, establishing one of the earliest major states to influence passage through the strait.",3,Strait of Hormuz region,,Britannica,https://www.britannica.com/place/Strait-of-Hormuz,0.95,persian-gulf;trade;empire
Timeline of the Strait of Hormuz,strait-of-hormuz,Chronology of the Strait of Hormuz as a strategic maritime chokepoint linking the Persian Gulf to the Gulf of Oman and the wider Indian Ocean.,geopolitics,2,7th century CE,approximate,Islamic caliphates dominate Gulf routes,"With the rise of Islamic rule across Arabia and Persia, maritime routes through the strait became integrated into expanding Indian Ocean trade networks.",3,Strait of Hormuz region,,Britannica,https://www.britannica.com/place/Strait-of-Hormuz,0.95,trade;islam;shipping
Timeline of the Strait of Hormuz,strait-of-hormuz,Chronology of the Strait of Hormuz as a strategic maritime chokepoint linking the Persian Gulf to the Gulf of Oman and the wider Indian Ocean.,geopolitics,3,10th century CE,approximate,Hormuz emerges as a regional port power,The port polity associated with Hormuz grew in commercial importance as Gulf and Indian Ocean exchange intensified.,3,Hormuz region,,Britannica,https://www.britannica.com/place/Strait-of-Hormuz,0.95,trade;ports;persian-gulf
Timeline of the Strait of Hormuz,strait-of-hormuz,Chronology of the Strait of Hormuz as a strategic maritime chokepoint linking the Persian Gulf to the Gulf of Oman and the wider Indian Ocean.,geopolitics,4,1300,year,Kingdom of Hormuz consolidates maritime influence,Hormuz developed into a prosperous entrepôt that profited from taxing and protecting commerce moving through the narrows.,4,Hormuz Island,,Britannica,https://www.britannica.com/place/Strait-of-Hormuz,0.95,trade;kingdom;shipping
Timeline of the Strait of Hormuz,strait-of-hormuz,Chronology of the Strait of Hormuz as a strategic maritime chokepoint linking the Persian Gulf to the Gulf of Oman and the wider Indian Ocean.,geopolitics,5,1507,year,Portuguese seize Hormuz,"Portuguese forces captured Hormuz, seeking to control commerce through one of the world's key sea passages.",5,Hormuz Island,,Britannica,https://www.britannica.com/place/Strait-of-Hormuz,0.95,empire;portuguese;shipping
Timeline of the Strait of Hormuz,strait-of-hormuz,Chronology of the Strait of Hormuz as a strategic maritime chokepoint linking the Persian Gulf to the Gulf of Oman and the wider Indian Ocean.,geopolitics,6,1515,year,Portuguese fortification of Hormuz completed,Portugal strengthened its position by building durable fortifications and integrating Hormuz into its Estado da Índia system.,4,Hormuz Island,,Britannica,https://www.britannica.com/place/Strait-of-Hormuz,0.95,fortress;portuguese;empire
Timeline of the Strait of Hormuz,strait-of-hormuz,Chronology of the Strait of Hormuz as a strategic maritime chokepoint linking the Persian Gulf to the Gulf of Oman and the wider Indian Ocean.,geopolitics,7,1622,year,Safavid-Persian and English forces expel Portugal,A joint Persian-English operation removed the Portuguese from Hormuz and shifted regional control of the strait.,5,Hormuz Island,,Britannica,https://www.britannica.com/place/Strait-of-Hormuz,0.95,safavid;britain;shipping
Timeline of the Strait of Hormuz,strait-of-hormuz,Chronology of the Strait of Hormuz as a strategic maritime chokepoint linking the Persian Gulf to the Gulf of Oman and the wider Indian Ocean.,geopolitics,8,1798,year,British treaty network expands in the Gulf,British strategic agreements in the Gulf laid foundations for later maritime security arrangements around the strait.,3,Persian Gulf,,Britannica,https://www.britannica.com/place/Strait-of-Hormuz,0.95,britain;navy;persian-gulf
Timeline of the Strait of Hormuz,strait-of-hormuz,Chronology of the Strait of Hormuz as a strategic maritime chokepoint linking the Persian Gulf to the Gulf of Oman and the wider Indian Ocean.,geopolitics,9,1861,year,British anti-piracy policing intensifies,Nineteenth-century British naval power increasingly shaped security and navigation in the Gulf approaches to the strait.,3,Persian Gulf,,Britannica,https://www.britannica.com/place/Strait-of-Hormuz,0.95,britain;navy;shipping
Timeline of the Strait of Hormuz,strait-of-hormuz,Chronology of the Strait of Hormuz as a strategic maritime chokepoint linking the Persian Gulf to the Gulf of Oman and the wider Indian Ocean.,geopolitics,10,1971,year,Britain withdraws east of Suez,The end of Britain's longstanding military role in the Gulf altered the regional balance around the strait shortly before new Gulf states emerged.,4,Persian Gulf,,Britannica,https://www.britannica.com/place/Strait-of-Hormuz,0.95,britain;decolonization;security
