timeline_title,timeline_slug,timeline_description,category,event_order,date,date_precision,title,description,importance,location,image_url,source_publisher,source_url,source_credibility,tags
Timeline of Kissing,kissing,"Major milestones in the cultural, scientific, and social history of kissing.",society,1,c. 1500 BCE,approximate,Earliest kissing reference in Sanskrit texts,Early Indian texts describe kissing in intimate courtship contexts.,4,Indian subcontinent,,Britannica,https://www.britannica.com/topic/kiss,0.95,society;love
Timeline of Kissing,kissing,"Major milestones in the cultural, scientific, and social history of kissing.",society,2,6th century BCE,approximate,Kissing appears in Hebrew literature,Biblical poetry includes imagery associated with affectionate kissing.,3,Levant,,Britannica,https://www.britannica.com/topic/kiss,0.95,religion;love
Timeline of Kissing,kissing,"Major milestones in the cultural, scientific, and social history of kissing.",society,3,5th century BCE,approximate,Greek writers describe social kissing,"Greek sources distinguish familial, respectful, and erotic kisses.",3,Greece,,Britannica,https://www.britannica.com/topic/kiss,0.95,greece;society
Timeline of Kissing,kissing,"Major milestones in the cultural, scientific, and social history of kissing.",society,4,1st century BCE,approximate,Roman greeting customs formalize kissing,"Romans classify kisses for greeting, affection, and passion.",4,Rome,,Britannica,https://www.britannica.com/topic/kiss,0.95,rome;society
Timeline of Kissing,kissing,"Major milestones in the cultural, scientific, and social history of kissing.",society,5,4th century,approximate,Christian liturgy adopts kiss of peace,Church ritual incorporates ceremonial kissing among worshippers.,4,Roman Empire,,Britannica,https://www.britannica.com/topic/kiss,0.95,religion;ritual
Timeline of Kissing,kissing,"Major milestones in the cultural, scientific, and social history of kissing.",society,6,8th century,approximate,Feudal homage includes ceremonial kissing,Political allegiance rituals use kisses during oath-taking.,3,Western Europe,,Britannica,https://www.britannica.com/topic/feudalism,0.95,politics;ritual
Timeline of Kissing,kissing,"Major milestones in the cultural, scientific, and social history of kissing.",society,7,1095,year,Crusader contact spreads greeting customs,Cross-cultural contact broadens medieval kissing conventions.,2,Eastern Mediterranean,,Britannica,https://www.britannica.com/event/Crusades,0.95,war;society
Timeline of Kissing,kissing,"Major milestones in the cultural, scientific, and social history of kissing.",society,8,1348,year,Plague discourages public kissing,Epidemic fears alter greeting behavior in Europe.,4,Europe,,Britannica,https://www.britannica.com/event/Black-Death,0.95,disease;society
Timeline of Kissing,kissing,"Major milestones in the cultural, scientific, and social history of kissing.",society,9,1439,year,Court etiquette manuals regulate kissing,Elite households codify who may kiss whom ceremonially.,3,Burgundy,,Britannica,https://www.britannica.com/topic/courtly-love,0.9,culture;court
Timeline of Kissing,kissing,"Major milestones in the cultural, scientific, and social history of kissing.",society,10,1564,year,Shakespeare normalizes dramatic kissing,Stage drama makes kissing central to romance scenes.,4,England,,Britannica,https://www.britannica.com/biography/William-Shakespeare,0.95,literature;theatre
