timeline_title,timeline_slug,timeline_description,category,event_order,date,date_precision,title,description,importance,location,image_url,source_publisher,source_url,source_credibility,tags
Timeline of History of the Internet,history-of-the-internet,Development of global computer networking from early packet switching to the modern web.,technology,1,1958,year,ARPA is created,The United States establishes ARPA to fund advanced research after Sputnik.,3,USA,,DARPA,https://www.darpa.mil/about-us/timeline,0.95,history
Timeline of History of the Internet,history-of-the-internet,Development of global computer networking from early packet switching to the modern web.,technology,2,1961,year,Packet switching theory published,Leonard Kleinrock publishes foundational packet-switching work.,3,USA,,Britannica,https://www.britannica.com/technology/Internet,0.95,history
Timeline of History of the Internet,history-of-the-internet,Development of global computer networking from early packet switching to the modern web.,technology,3,1969-10,month,ARPANET goes live,The first ARPANET nodes connect UCLA and Stanford.,3,USA,,Computer History Museum,https://computerhistory.org/blog/arpanet-first-message/,0.95,history
Timeline of History of the Internet,history-of-the-internet,Development of global computer networking from early packet switching to the modern web.,technology,4,1971,year,Email introduced,Ray Tomlinson sends the first network email.,3,USA,,Britannica,https://www.britannica.com/technology/email,0.95,history
Timeline of History of the Internet,history-of-the-internet,Development of global computer networking from early packet switching to the modern web.,technology,5,1973,year,TCP design begins,Vint Cerf and Bob Kahn begin TCP protocol design.,3,USA,,Britannica,https://www.britannica.com/biography/Vinton-Cerf,0.95,history
Timeline of History of the Internet,history-of-the-internet,Development of global computer networking from early packet switching to the modern web.,technology,6,1983-01-01,day,TCP/IP adopted,ARPANET switches fully to TCP/IP.,3,USA,,Britannica,https://www.britannica.com/technology/Internet,0.95,history
Timeline of History of the Internet,history-of-the-internet,Development of global computer networking from early packet switching to the modern web.,technology,7,1984,year,DNS introduced,Domain Name System replaces host files.,3,USA,,ICANN,https://www.icann.org/resources/pages/dns-2012-02-25-en,0.95,history
Timeline of History of the Internet,history-of-the-internet,Development of global computer networking from early packet switching to the modern web.,technology,8,1989,year,World Wide Web proposed,Tim Berners-Lee proposes the web at CERN.,3,Switzerland,,CERN,https://home.cern/science/computing/birth-web,0.95,history
Timeline of History of the Internet,history-of-the-internet,Development of global computer networking from early packet switching to the modern web.,technology,9,1991,year,Public web released,CERN opens the web to external users.,3,Switzerland,,CERN,https://home.cern/science/computing/birth-web,0.95,history
Timeline of History of the Internet,history-of-the-internet,Development of global computer networking from early packet switching to the modern web.,technology,10,1993,year,Mosaic browser launches,Mosaic popularizes graphical browsing.,3,USA,,Britannica,https://www.britannica.com/topic/Mosaic-Web-browser,0.95,history
Timeline of History of the Internet,history-of-the-internet,Development of global computer networking from early packet switching to the modern web.,technology,11,1995,year,Commercial internet expands,NSFNET backbone restrictions end.,3,USA,,NSF,https://www.nsf.gov/news/special_reports/nsf-net/,0.95,history
Timeline of History of the Internet,history-of-the-internet,Development of global computer networking from early packet switching to the modern web.,technology,12,1998,year,Google founded,Google reshapes web search.,3,USA,,Britannica,https://www.britannica.com/topic/Google-Inc,0.95,history
Timeline of History of the Internet,history-of-the-internet,Development of global computer networking from early packet switching to the modern web.,technology,13,2001,year,Wikipedia launches,Collaborative knowledge expands online.,3,USA,,Britannica,https://www.britannica.com/topic/Wikipedia,0.95,history
Timeline of History of the Internet,history-of-the-internet,Development of global computer networking from early packet switching to the modern web.,technology,14,2004,year,Facebook founded,Social networking enters mass adoption.,3,USA,,Britannica,https://www.britannica.com/topic/Facebook,0.95,history
Timeline of History of the Internet,history-of-the-internet,Development of global computer networking from early packet switching to the modern web.,technology,15,2005,year,YouTube founded,Video sharing becomes mainstream.,3,USA,,Britannica,https://www.britannica.com/topic/YouTube,0.95,history
Timeline of History of the Internet,history-of-the-internet,Development of global computer networking from early packet switching to the modern web.,technology,16,2007,year,iPhone released,Mobile internet accelerates globally.,3,USA,,Britannica,https://www.britannica.com/topic/iPhone,0.95,history
Timeline of History of the Internet,history-of-the-internet,Development of global computer networking from early packet switching to the modern web.,technology,17,2012,year,IPv6 global launch,Major providers expand IPv6 deployment.,3,Global,,Internet Society,https://www.internetsociety.org/deploy360/ipv6/launch/,0.95,history
