timeline_title,timeline_slug,timeline_description,category,event_order,date,date_precision,title,description,importance,location,image_url,source_publisher,source_url,source_credibility,tags
Timeline of the Mali Empire,mali-empire,"Major political, economic, and cultural milestones of the Mali Empire.",history,1,c. 1235,approximate,Battle of Kirina,Sundiata Keita defeats Sosso forces and founds imperial Mali.,5,Mali,,Encyclopaedia Britannica,https://www.britannica.com/place/Mali-historical-empire,0.95,empire;africa
Timeline of the Mali Empire,mali-empire,"Major political, economic, and cultural milestones of the Mali Empire.",history,2,1235,year,Sundiata crowned mansa,Sundiata begins consolidating Mandinka territories.,4,Mali,,Encyclopaedia Britannica,https://www.britannica.com/place/Mali-historical-empire,0.95,empire;africa
Timeline of the Mali Empire,mali-empire,"Major political, economic, and cultural milestones of the Mali Empire.",history,3,1255,year,Death of Sundiata,Succession passes to imperial heirs after Sundiata's death.,3,Mali,,Encyclopaedia Britannica,https://www.britannica.com/place/Mali-historical-empire,0.95,empire;africa
Timeline of the Mali Empire,mali-empire,"Major political, economic, and cultural milestones of the Mali Empire.",history,4,1270,year,Sakura usurpation,Sakura seizes power and restores imperial authority.,3,Mali,,Encyclopaedia Britannica,https://www.britannica.com/place/Mali-historical-empire,0.95,empire;africa
Timeline of the Mali Empire,mali-empire,"Major political, economic, and cultural milestones of the Mali Empire.",history,5,1285,year,Sakura dies,Imperial succession returns to Keita lineage.,3,Mali,,Encyclopaedia Britannica,https://www.britannica.com/place/Mali-historical-empire,0.95,empire;africa
Timeline of the Mali Empire,mali-empire,"Major political, economic, and cultural milestones of the Mali Empire.",history,6,1312,year,Mansa Musa takes throne,Musa begins Mali's most famous reign.,5,Mali,,Encyclopaedia Britannica,https://www.britannica.com/place/Mali-historical-empire,0.95,empire;trade
Timeline of the Mali Empire,mali-empire,"Major political, economic, and cultural milestones of the Mali Empire.",history,7,1324,year,Pilgrimage to Mecca,Mansa Musa's hajj publicizes Mali's wealth.,5,Mecca,,Encyclopaedia Britannica,https://www.britannica.com/place/Mali-historical-empire,0.95,religion;trade
Timeline of the Mali Empire,mali-empire,"Major political, economic, and cultural milestones of the Mali Empire.",history,8,1325,year,Timbuktu annexed,Mali secures Timbuktu after regional campaigns.,4,Timbuktu,,Encyclopaedia Britannica,https://www.britannica.com/place/Mali-historical-empire,0.95,city;trade
Timeline of the Mali Empire,mali-empire,"Major political, economic, and cultural milestones of the Mali Empire.",history,9,1327,year,Great Mosque of Timbuktu expanded,Imperial patronage strengthens Islamic scholarship.,4,Timbuktu,,Encyclopaedia Britannica,https://www.britannica.com/place/Mali-historical-empire,0.95,religion;architecture
Timeline of the Mali Empire,mali-empire,"Major political, economic, and cultural milestones of the Mali Empire.",history,10,1337,year,Death of Mansa Musa,Succession passes to Maghan I.,3,Mali,,Encyclopaedia Britannica,https://www.britannica.com/place/Mali-historical-empire,0.95,empire;africa
Timeline of the Mali Empire,mali-empire,"Major political, economic, and cultural milestones of the Mali Empire.",history,11,1341,year,Sulayman becomes mansa,Sulayman restores stability after succession disputes.,3,Mali,,Encyclopaedia Britannica,https://www.britannica.com/place/Mali-historical-empire,0.95,empire;africa
Timeline of the Mali Empire,mali-empire,"Major political, economic, and cultural milestones of the Mali Empire.",history,12,1352,year,Ibn Battuta visits Mali,Traveler records court life and institutions.,4,Mali,,Encyclopaedia Britannica,https://www.britannica.com/place/Mali-historical-empire,0.95,travel;islam
Timeline of the Mali Empire,mali-empire,"Major political, economic, and cultural milestones of the Mali Empire.",history,13,1360,year,Tuareg pressure increases,Northern trade routes face growing instability.,3,Sahara,,Encyclopaedia Britannica,https://www.britannica.com/place/Mali-historical-empire,0.95,trade;war
Timeline of the Mali Empire,mali-empire,"Major political, economic, and cultural milestones of the Mali Empire.",history,14,1389,year,Civil conflict intensifies,Dynastic disputes weaken central control.,3,Mali,,Encyclopaedia Britannica,https://www.britannica.com/place/Mali-historical-empire,0.95,empire;politics
