timeline_title,timeline_slug,timeline_description,category,event_order,date,date_precision,title,description,importance,location,image_url,source_publisher,source_url,source_credibility,tags
A History of Micronations and Self-Proclaimed States,history-of-micronations-and-self-proclaimed-states,Chronology of modern and historical micronational declarations.,history,1,1860,year,Kingdom of Araucanía proclaimed,Orélie-Antoine de Tounens declares a kingdom in southern Chile and Argentina.,4,Araucanía,,Britannica,https://www.britannica.com/topic/Principality-of-Sealand,0.92,statehood;politics
A History of Micronations and Self-Proclaimed States,history-of-micronations-and-self-proclaimed-states,Chronology of modern and historical micronational declarations.,history,2,1867,year,Republic of Molossia precursor founded,A predecessor entity later linked to Molossia begins as a private micronational project.,2,United States,,Britannica,https://www.britannica.com/topic/Principality-of-Sealand,0.92,statehood;politics
A History of Micronations and Self-Proclaimed States,history-of-micronations-and-self-proclaimed-states,Chronology of modern and historical micronational declarations.,history,3,1886,year,Indian Stream remembered in legal writing,The former disputed republic becomes a model for later micronational claims.,2,"New Hampshire, USA",,Britannica,https://www.britannica.com/topic/Principality-of-Sealand,0.92,statehood;politics
A History of Micronations and Self-Proclaimed States,history-of-micronations-and-self-proclaimed-states,Chronology of modern and historical micronational declarations.,history,4,1929,year,Principality of Outer Baldonia chartered,A tiny Nova Scotia island is declared a principality by Russell Arundel.,3,"Nova Scotia, Canada",,Britannica,https://www.britannica.com/topic/Principality-of-Sealand,0.92,statehood;politics
A History of Micronations and Self-Proclaimed States,history-of-micronations-and-self-proclaimed-states,Chronology of modern and historical micronational declarations.,history,5,1947,year,Principality of Sealand platform built,The sea fort later used for Sealand is completed in wartime.,3,North Sea,,Britannica,https://www.britannica.com/topic/Principality-of-Sealand,0.92,statehood;politics
A History of Micronations and Self-Proclaimed States,history-of-micronations-and-self-proclaimed-states,Chronology of modern and historical micronational declarations.,history,6,1967,year,Principality of Sealand declared,Paddy Roy Bates proclaims Sealand on Roughs Tower.,5,North Sea,,Britannica,https://www.britannica.com/topic/Principality-of-Sealand,0.92,statehood;politics
A History of Micronations and Self-Proclaimed States,history-of-micronations-and-self-proclaimed-states,Chronology of modern and historical micronational declarations.,history,7,1970,year,Hutt River Province declared,Leonard Casley declares secession in Western Australia.,5,"Western Australia, Australia",,Britannica,https://www.britannica.com/topic/Principality-of-Sealand,0.92,statehood;politics
A History of Micronations and Self-Proclaimed States,history-of-micronations-and-self-proclaimed-states,Chronology of modern and historical micronational declarations.,history,8,1972,year,Gay and Lesbian Kingdom founded,An Australian symbolic micronation is proclaimed.,2,"New South Wales, Australia",,Britannica,https://www.britannica.com/topic/Principality-of-Sealand,0.92,statehood;politics
A History of Micronations and Self-Proclaimed States,history-of-micronations-and-self-proclaimed-states,Chronology of modern and historical micronational declarations.,history,9,1977,year,Sealand repels takeover attempt,A coup attempt on Sealand fails.,4,North Sea,,Britannica,https://www.britannica.com/topic/Principality-of-Sealand,0.92,statehood;politics
A History of Micronations and Self-Proclaimed States,history-of-micronations-and-self-proclaimed-states,Chronology of modern and historical micronational declarations.,history,10,1982,year,Conch Republic proclaimed,Key West symbolically secedes in protest of a checkpoint.,5,"Florida, USA",,Britannica,https://www.britannica.com/topic/Principality-of-Sealand,0.92,statehood;politics
A History of Micronations and Self-Proclaimed States,history-of-micronations-and-self-proclaimed-states,Chronology of modern and historical micronational declarations.,history,11,1992,year,Republic of Kugelmugel dispute peaks,Vienna's micronation continues legal conflict over planning law.,3,"Vienna, Austria",,Britannica,https://www.britannica.com/topic/Principality-of-Sealand,0.92,statehood;politics
A History of Micronations and Self-Proclaimed States,history-of-micronations-and-self-proclaimed-states,Chronology of modern and historical micronational declarations.,history,12,1997,year,Ladonia declared,Artist Lars Vilks proclaims Ladonia around sculpture sites.,4,Sweden,,Britannica,https://www.britannica.com/topic/Principality-of-Sealand,0.92,statehood;politics
A History of Micronations and Self-Proclaimed States,history-of-micronations-and-self-proclaimed-states,Chronology of modern and historical micronational declarations.,history,13,2004,year,Frestonia revived in media,The former London micronational identity returns to public attention.,2,"London, UK",,Britannica,https://www.britannica.com/topic/Principality-of-Sealand,0.92,statehood;politics
A History of Micronations and Self-Proclaimed States,history-of-micronations-and-self-proclaimed-states,Chronology of modern and historical micronational declarations.,history,14,2005,year,Westarctica founded,A private claimant declares a micronation in Antarctica.,3,Antarctica,,Britannica,https://www.britannica.com/topic/Principality-of-Sealand,0.92,statehood;politics
A History of Micronations and Self-Proclaimed States,history-of-micronations-and-self-proclaimed-states,Chronology of modern and historical micronational declarations.,history,15,2006,year,Elgaland-Vargaland expands symbolic claims,An artistic micronation adds conceptual territory.,2,Sweden,,Britannica,https://www.britannica.com/topic/Principality-of-Sealand,0.92,statehood;politics
