timeline_title,timeline_slug,timeline_description,category,event_order,date,date_precision,title,description,importance,location,image_url,source_publisher,source_url,source_credibility,tags
Timeline of the Berlin Wall,berlin-wall,Major political and social milestones in the history of the Berlin Wall.,politics,1,1945,year,Germany divided into occupation zones,Allied powers divided Germany into occupation zones after the Second World War.,4,Germany,,Encyclopaedia Britannica,https://www.britannica.com/topic/Berlin-Wall,0.95,germany;cold-war;wall
Timeline of the Berlin Wall,berlin-wall,Major political and social milestones in the history of the Berlin Wall.,politics,2,1945,year,Berlin divided into sectors,Berlin was divided among the Allied powers despite lying deep inside the Soviet zone.,4,Berlin,,Encyclopaedia Britannica,https://www.britannica.com/topic/Berlin-Wall,0.95,germany;cold-war;wall
Timeline of the Berlin Wall,berlin-wall,Major political and social milestones in the history of the Berlin Wall.,politics,3,1948-06,month,Berlin Blockade begins,"The Soviet Union blocked land access to West Berlin, triggering a major Cold War crisis.",5,Berlin,,Encyclopaedia Britannica,https://www.britannica.com/topic/Berlin-Wall,0.95,germany;cold-war;wall
Timeline of the Berlin Wall,berlin-wall,Major political and social milestones in the history of the Berlin Wall.,politics,4,1949-05,month,Berlin Airlift ends,The Western Allies ended the airlift after sustaining West Berlin for nearly a year.,5,Berlin,,Encyclopaedia Britannica,https://www.britannica.com/topic/Berlin-Wall,0.95,germany;cold-war;wall
Timeline of the Berlin Wall,berlin-wall,Major political and social milestones in the history of the Berlin Wall.,politics,5,1949,year,Federal Republic of Germany founded,West Germany was established in the western occupation zones.,4,Bonn,,Encyclopaedia Britannica,https://www.britannica.com/topic/Berlin-Wall,0.95,germany;cold-war;wall
Timeline of the Berlin Wall,berlin-wall,Major political and social milestones in the history of the Berlin Wall.,politics,6,1949,year,German Democratic Republic founded,East Germany was established in the Soviet zone.,4,East Berlin,,Encyclopaedia Britannica,https://www.britannica.com/topic/Berlin-Wall,0.95,germany;cold-war;wall
Timeline of the Berlin Wall,berlin-wall,Major political and social milestones in the history of the Berlin Wall.,politics,7,1952,year,Inner German border tightened,The East German regime hardened the broader border with West Germany while Berlin remained a weak point.,3,Inner German border,,Encyclopaedia Britannica,https://www.britannica.com/topic/Berlin-Wall,0.95,germany;cold-war;wall
Timeline of the Berlin Wall,berlin-wall,Major political and social milestones in the history of the Berlin Wall.,politics,8,1953-06-17,day,East German uprising suppressed,A mass uprising in East Germany was crushed with Soviet support.,4,East Berlin,,Encyclopaedia Britannica,https://www.britannica.com/topic/Berlin-Wall,0.95,germany;cold-war;wall
Timeline of the Berlin Wall,berlin-wall,Major political and social milestones in the history of the Berlin Wall.,politics,9,1958,year,Khrushchev issues Berlin ultimatum,The Soviet Union renewed pressure on the status of Berlin.,4,Berlin,,Encyclopaedia Britannica,https://www.britannica.com/topic/Berlin-Wall,0.95,germany;cold-war;wall
Timeline of the Berlin Wall,berlin-wall,Major political and social milestones in the history of the Berlin Wall.,politics,10,1961-08-13,day,Construction of the Berlin Wall begins,East German authorities sealed the border and began building barriers through Berlin.,5,Berlin,,Encyclopaedia Britannica,https://www.britannica.com/topic/Berlin-Wall,0.95,germany;cold-war;wall
