timeline_title,timeline_slug,timeline_description,category,event_order,date,date_precision,title,description,importance,location,image_url,source_publisher,source_url,source_credibility,tags
Timeline of the Eurovision Song Contest,eurovision-song-contest,"Major milestones in the history, expansion, and cultural impact of the Eurovision Song Contest.",culture,1,1955,year,European Broadcasting Union approves contest,The EBU agreed to create a pan-European televised song competition.,5,Monaco,,Encyclopaedia Britannica,https://www.britannica.com/art/Eurovision-Song-Contest,0.95,music;eurovision;television
Timeline of the Eurovision Song Contest,eurovision-song-contest,"Major milestones in the history, expansion, and cultural impact of the Eurovision Song Contest.",culture,2,1956,year,First Eurovision Song Contest held,The inaugural contest took place with seven participating countries.,5,Lugano,,Encyclopaedia Britannica,https://www.britannica.com/art/Eurovision-Song-Contest,0.95,music;eurovision;television
Timeline of the Eurovision Song Contest,eurovision-song-contest,"Major milestones in the history, expansion, and cultural impact of the Eurovision Song Contest.",culture,3,1957,year,Rule limits entries to one song per country,The format moved closer to the modern competition model.,3,Frankfurt,,Encyclopaedia Britannica,https://www.britannica.com/art/Eurovision-Song-Contest,0.95,music;eurovision;television
Timeline of the Eurovision Song Contest,eurovision-song-contest,"Major milestones in the history, expansion, and cultural impact of the Eurovision Song Contest.",culture,4,1964,year,Copenhagen contest disrupted by protester,One of the earliest memorable on-stage disruptions occurred during the live broadcast.,2,Copenhagen,,Encyclopaedia Britannica,https://www.britannica.com/art/Eurovision-Song-Contest,0.95,music;eurovision;television
Timeline of the Eurovision Song Contest,eurovision-song-contest,"Major milestones in the history, expansion, and cultural impact of the Eurovision Song Contest.",culture,5,1968,year,United Kingdom wins with Cliff Richard runner-up,The contest reached a larger English-speaking audience.,3,London,,Encyclopaedia Britannica,https://www.britannica.com/art/Eurovision-Song-Contest,0.95,music;eurovision;television
Timeline of the Eurovision Song Contest,eurovision-song-contest,"Major milestones in the history, expansion, and cultural impact of the Eurovision Song Contest.",culture,6,1969,year,Four countries tie for first place,A four-way tie exposed the need for new voting rules.,5,Madrid,,Encyclopaedia Britannica,https://www.britannica.com/art/Eurovision-Song-Contest,0.95,music;eurovision;television
Timeline of the Eurovision Song Contest,eurovision-song-contest,"Major milestones in the history, expansion, and cultural impact of the Eurovision Song Contest.",culture,7,1970,year,Tie-break reforms introduced,Rules were revised after the unprecedented 1969 deadlock.,4,Amsterdam,,Encyclopaedia Britannica,https://www.britannica.com/art/Eurovision-Song-Contest,0.95,music;eurovision;television
Timeline of the Eurovision Song Contest,eurovision-song-contest,"Major milestones in the history, expansion, and cultural impact of the Eurovision Song Contest.",culture,8,1973,year,Language rule relaxed for performers,Countries were temporarily allowed to sing in any language.,3,Luxembourg,,Encyclopaedia Britannica,https://www.britannica.com/art/Eurovision-Song-Contest,0.95,music;eurovision;television
Timeline of the Eurovision Song Contest,eurovision-song-contest,"Major milestones in the history, expansion, and cultural impact of the Eurovision Song Contest.",culture,9,1974,year,ABBA wins with Waterloo,The Swedish victory became one of Eurovision's most famous career-launching moments.,5,Brighton,,Encyclopaedia Britannica,https://www.britannica.com/art/Eurovision-Song-Contest,0.95,music;eurovision;television
Timeline of the Eurovision Song Contest,eurovision-song-contest,"Major milestones in the history, expansion, and cultural impact of the Eurovision Song Contest.",culture,10,1981,year,Ireland begins dominant decade,Irish success helped cement the contest's mass popularity.,3,Dublin,,Encyclopaedia Britannica,https://www.britannica.com/art/Eurovision-Song-Contest,0.95,music;eurovision;television
Timeline of the Eurovision Song Contest,eurovision-song-contest,"Major milestones in the history, expansion, and cultural impact of the Eurovision Song Contest.",culture,11,1988,year,Céline Dion wins for Switzerland,The contest again launched a future global star.,5,Dublin,,Encyclopaedia Britannica,https://www.britannica.com/art/Eurovision-Song-Contest,0.95,music;eurovision;television
Timeline of the Eurovision Song Contest,eurovision-song-contest,"Major milestones in the history, expansion, and cultural impact of the Eurovision Song Contest.",culture,12,1991,year,Voting tie decided by countback,The close finish demonstrated the continued need for precise tiebreak procedures.,3,Rome,,Encyclopaedia Britannica,https://www.britannica.com/art/Eurovision-Song-Contest,0.95,music;eurovision;television
Timeline of the Eurovision Song Contest,eurovision-song-contest,"Major milestones in the history, expansion, and cultural impact of the Eurovision Song Contest.",culture,13,1997,year,Televoting introduced widely,Public voting began to transform the balance between juries and audiences.,5,Dublin,,Encyclopaedia Britannica,https://www.britannica.com/art/Eurovision-Song-Contest,0.95,music;eurovision;television
