timeline_title,timeline_slug,timeline_description,category,event_order,date,date_precision,title,description,importance,location,image_url,source_publisher,source_url,source_credibility,tags
Timeline of the Dust Bowl,dust-bowl,"Major environmental, economic, and political milestones in the history of the Dust Bowl.",history,1,1862,year,Homestead Act encourages Great Plains settlement,Federal land policy encouraged agricultural settlement in the Great Plains.,3,United States,,Encyclopaedia Britannica,https://www.britannica.com/event/Dust-Bowl,0.95,environment;united-states;agriculture
Timeline of the Dust Bowl,dust-bowl,"Major environmental, economic, and political milestones in the history of the Dust Bowl.",history,2,1909,year,Enlarged Homestead Act expands dryland farming,More settlers moved into semi-arid regions of the Plains.,3,United States,,Encyclopaedia Britannica,https://www.britannica.com/event/Dust-Bowl,0.95,environment;united-states;agriculture
Timeline of the Dust Bowl,dust-bowl,"Major environmental, economic, and political milestones in the history of the Dust Bowl.",history,3,1914,year,World War I boosts wheat demand,High grain prices encouraged deeper plowing across the Plains.,4,Great Plains,,Encyclopaedia Britannica,https://www.britannica.com/event/Dust-Bowl,0.95,environment;united-states;agriculture
Timeline of the Dust Bowl,dust-bowl,"Major environmental, economic, and political milestones in the history of the Dust Bowl.",history,4,1918,year,Mechanized plowing expands,Tractors and new techniques accelerated cultivation of fragile soils.,4,Great Plains,,Encyclopaedia Britannica,https://www.britannica.com/event/Dust-Bowl,0.95,environment;united-states;agriculture
Timeline of the Dust Bowl,dust-bowl,"Major environmental, economic, and political milestones in the history of the Dust Bowl.",history,5,1920,year,Postwar farm economy weakens,Falling prices left many farmers dependent on continued intensive production.,3,United States,,Encyclopaedia Britannica,https://www.britannica.com/event/Dust-Bowl,0.95,environment;united-states;agriculture
Timeline of the Dust Bowl,dust-bowl,"Major environmental, economic, and political milestones in the history of the Dust Bowl.",history,6,1925,year,Large areas of native grassland removed,Protective prairie grasses had been widely replaced by cropland.,4,Great Plains,,Encyclopaedia Britannica,https://www.britannica.com/event/Dust-Bowl,0.95,environment;united-states;agriculture
Timeline of the Dust Bowl,dust-bowl,"Major environmental, economic, and political milestones in the history of the Dust Bowl.",history,7,1930,year,Severe drought begins,Drought set the stage for ecological collapse across the southern Plains.,5,Great Plains,,Encyclopaedia Britannica,https://www.britannica.com/event/Dust-Bowl,0.95,environment;united-states;agriculture
Timeline of the Dust Bowl,dust-bowl,"Major environmental, economic, and political milestones in the history of the Dust Bowl.",history,8,1931,year,Crop failures spread,Poor harvests widened economic distress in farming communities.,4,Great Plains,,Encyclopaedia Britannica,https://www.britannica.com/event/Dust-Bowl,0.95,environment;united-states;agriculture
Timeline of the Dust Bowl,dust-bowl,"Major environmental, economic, and political milestones in the history of the Dust Bowl.",history,9,1932,year,Dust storms intensify,Wind erosion began carrying huge quantities of topsoil into the air.,5,Great Plains,,Encyclopaedia Britannica,https://www.britannica.com/event/Dust-Bowl,0.95,environment;united-states;agriculture
Timeline of the Dust Bowl,dust-bowl,"Major environmental, economic, and political milestones in the history of the Dust Bowl.",history,10,1933,year,New Deal farm relief begins,The federal government began responding to agricultural crisis.,4,United States,,Encyclopaedia Britannica,https://www.britannica.com/event/Dust-Bowl,0.95,environment;united-states;agriculture
